07 Jul 2016 22:07:11 : Cipher , Wertfuzzy77#0274 , ;fml
07 Jul 2016 22:13:42 : LimitlessMc , xPalkia(lugia)#8149 , <@186857995802640384>  the pokestops near my house are all at churches...
07 Jul 2016 22:13:48 : LimitlessMc , depthy#3405 , For ones closer to you
07 Jul 2016 22:13:49 : LimitlessMc , Genesect#6492 , SAME
07 Jul 2016 22:13:50 : LimitlessMc , depthy#3405 , Lmao
07 Jul 2016 22:13:55 : LimitlessMc , depthy#3405 , Mine are all art
07 Jul 2016 22:13:58 : LimitlessMc , Genesect#6492 , THE one near me
07 Jul 2016 22:14:02 : LimitlessMc , Genesect#6492 , is at a church
07 Jul 2016 22:14:03 : LimitlessMc , xPalkia(lugia)#8149 , I'm like, shouldnt the pokemon believe in arceus? wtf
07 Jul 2016 22:14:03 : LimitlessMc , Genesect#6492 , xD
07 Jul 2016 22:14:08 : LimitlessMc , depthy#3405 , And there are a LOT of people playing here
07 Jul 2016 22:14:16 : LimitlessMc , depthy#3405 , I've seen so many ppl
07 Jul 2016 22:14:17 : LimitlessMc , Genesect#6492 , lol
07 Jul 2016 22:14:23 : LimitlessMc , Genesect#6492 , it drains my phone batteru
07 Jul 2016 22:14:29 : LimitlessMc , Genesect#6492 , i was at 22%
07 Jul 2016 22:14:33 : LimitlessMc , Genesect#6492 , and im at 16 now
07 Jul 2016 22:14:38 : LimitlessMc , Genesect#6492 , from like 15 minutes
07 Jul 2016 22:14:43 : LimitlessMc , xPalkia(lugia)#8149 , same
07 Jul 2016 22:14:46 : LimitlessMc , xPalkia(lugia)#8149 , My phone almost ded
07 Jul 2016 22:15:03 : LimitlessMc , xPalkia(lugia)#8149 , I walked out near the woods and the eevee gone
07 Jul 2016 22:15:06 : LimitlessMc , xPalkia(lugia)#8149 , ;-;
07 Jul 2016 22:15:11 : LimitlessMc , Genesect#6492 , i should get one of those mobile charges
07 Jul 2016 22:15:15 : LimitlessMc , Genesect#6492 , chargers
07 Jul 2016 22:15:19 : LimitlessMc , Genesect#6492 , like the one you charge
07 Jul 2016 22:15:23 : LimitlessMc , Genesect#6492 , then charges your phone
07 Jul 2016 22:15:24 : LimitlessMc , xPalkia(lugia)#8149 , I have one but the mobile ones die fast
07 Jul 2016 22:15:39 : LimitlessMc , Genesect#6492 , charge it while outside
07 Jul 2016 22:15:43 : LimitlessMc , Genesect#6492 , when phones gonna die
07 Jul 2016 22:15:45 : LimitlessMc , Genesect#6492 , go get it
07 Jul 2016 22:15:58 : Cipher , Roy210#7098 , <@183307266475294721>
07 Jul 2016 22:16:01 : LimitlessMc , xPalkia(lugia)#8149 , Tbh the pidgeys look like shiny ones in pokemon go
07 Jul 2016 22:16:05 : LimitlessMc , Mystz#8072 , @xpalkia samehere
07 Jul 2016 22:16:07 : Cipher , Roy210#7098 , hai babe
07 Jul 2016 22:16:07 : LimitlessMc , Mystz#8072 , <@190928285532815361>
07 Jul 2016 22:16:11 : LimitlessMc , Mystz#8072 , my pokestops are churches
07 Jul 2016 22:16:18 : LimitlessMc , xPalkia(lugia)#8149 , yeah
07 Jul 2016 22:16:29 : LimitlessMc , Genesect#6492 , wtf
07 Jul 2016 22:16:32 : LimitlessMc , Genesect#6492 , all three of us
07 Jul 2016 22:16:37 : LimitlessMc , Genesect#6492 , we are being brain washed
07 Jul 2016 22:16:38 : Cipher , Roy210#7098 , ^
07 Jul 2016 22:16:41 : LimitlessMc , Genesect#6492 , to goto church
07 Jul 2016 22:16:53 : LimitlessMc , xPalkia(lugia)#8149 , ^
07 Jul 2016 22:17:19 : LimitlessMc , Genesect#6492 , praise allah
07 Jul 2016 22:17:30 : LimitlessMc , Genesect#6492 , !youtube clash of swords
07 Jul 2016 22:17:37 : LimitlessMc , Genesect#6492 , come listen to this <@190928285532815361>
07 Jul 2016 22:17:41 : LimitlessMc , xPalkia(lugia)#8149 , I wanted an egg ;-;
