19 Jul 2016 02:03:35 : The Pleb Privateers , Botfuzzy77#2209 , **Wertfuzzy77**(The Normal People) is now Online!
19 Jul 2016 02:07:53 : Cipher , Botfuzzy77#2209 , Fun.: Some Nights [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=qQkBeOisNM0)
Charlie Sheen Parody - Bi-Winning (Official Song) (https://www.youtube.com/watch?v=J0NIMTPYYcU)
Total Time is 0:07:16
19 Jul 2016 02:08:02 : LimitlessMc , dizzle#6593 , ;clever ...
19 Jul 2016 02:08:02 : LimitlessMc , Botfuzzy77#2209 , Ask me.
19 Jul 2016 02:08:12 : LimitlessMc , dizzle#6593 , ;clever ask you what?
19 Jul 2016 02:08:13 : LimitlessMc , Botfuzzy77#2209 , What you want.
19 Jul 2016 02:08:25 : LimitlessMc , dizzle#6593 , ;clever do you like youtube
19 Jul 2016 02:08:27 : LimitlessMc , Botfuzzy77#2209 , Yes I do.
19 Jul 2016 02:08:33 : LimitlessMc , dizzle#6593 , ;clever cool
19 Jul 2016 02:08:34 : LimitlessMc , Botfuzzy77#2209 , Why do you say that?
19 Jul 2016 02:08:36 : Cipher , Wertfuzzy77#0274 , gotta restart bot after this song
19 Jul 2016 02:09:00 : The Pleb Privateers , Wertfuzzy77#0274 , ;choose Botfuzzy77 enragedrobo
19 Jul 2016 02:09:00 : The Pleb Privateers , Botfuzzy77#2209 , Oh, Thats easy
19 Jul 2016 02:09:01 : The Pleb Privateers , Botfuzzy77#2209 , Chosen Option: enragedrobo
19 Jul 2016 02:09:02 : LimitlessMc , PacMen#1450 , ;clever bananas are better than oranges
19 Jul 2016 02:09:03 : LimitlessMc , Botfuzzy77#2209 , No they are not.
19 Jul 2016 02:09:04 : The Pleb Privateers , enragednuke#2565 , kek
19 Jul 2016 02:09:09 : The Pleb Privateers , Wertfuzzy77#0274 , ;choose Botfuzzy77 enragedrobo
19 Jul 2016 02:09:09 : The Pleb Privateers , Botfuzzy77#2209 , Oh, Thats easy
19 Jul 2016 02:09:09 : The Pleb Privateers , Botfuzzy77#2209 , Chosen Option: Botfuzzy77
19 Jul 2016 02:09:10 : The Pleb Privateers , enragednuke#2565 , it has self confidence issues
19 Jul 2016 02:09:11 : The Pleb Privateers , enragednuke#2565 , lol
19 Jul 2016 02:09:38 : LimitlessMc , PacMen#1450 , ; clever why do you think that
19 Jul 2016 02:09:49 : LimitlessMc , dizzle#6593 , ;clever becomes a eevee
19 Jul 2016 02:09:51 : LimitlessMc , Botfuzzy77#2209 , *makes you be a girl*.
19 Jul 2016 02:09:56 : LimitlessMc , Wertfuzzy77#0274 , lol
19 Jul 2016 02:10:00 : LimitlessMc , dizzle#6593 , ...
19 Jul 2016 02:10:19 : LimitlessMc , PacMen#1450 , ;clever why do you think that?
19 Jul 2016 02:10:21 : LimitlessMc , Botfuzzy77#2209 , Because you own it.
19 Jul 2016 02:10:27 : LimitlessMc , dizzle#6593 , ;clever im a girl eevee thats nice
19 Jul 2016 02:10:28 : LimitlessMc , Botfuzzy77#2209 , What music do you like?
19 Jul 2016 02:10:55 : LimitlessMc , dizzle#6593 , ;clever dees nuts
19 Jul 2016 02:10:57 : LimitlessMc , Botfuzzy77#2209 , What do you want to talk about?
19 Jul 2016 02:11:26 : LimitlessMc , dizzle#6593 , ;clever do you what to be a eevee?
19 Jul 2016 02:11:28 : LimitlessMc , Botfuzzy77#2209 , Sure, if you want to.
19 Jul 2016 02:11:43 : LimitlessMc , dizzle#6593 , ;clever makes you a eevee
19 Jul 2016 02:11:44 : LimitlessMc , Botfuzzy77#2209 , No, don't make me a girl!
19 Jul 2016 02:11:49 : LimitlessMc , PacMen#1450 , ;clever when I get older ...
19 Jul 2016 02:11:51 : Cipher , Wertfuzzy77#0274 , ;shutdown
19 Jul 2016 02:11:52 : LimitlessMc , Botfuzzy77#2209 , Because you are just 17?
19 Jul 2016 02:11:52 : Cipher , Botfuzzy77#2209 , Ok :(
