11 Jul 2016 23:24:43 : Cipher , RoyGasm ;)#7098 , ;eightball does roy cheat?
11 Jul 2016 23:26:21 : Cipher , Botfuzzy77#2209 , **Concentrate and ask again**
11 Jul 2016 23:26:35 : Cipher , Wertfuzzy77#0274 , <@183307266475294721>  join us in music channel
11 Jul 2016 23:26:39 : Cipher , Wertfuzzy77#0274 , become one of us
11 Jul 2016 23:26:39 : Cipher , RoyGasm ;)#7098 , <@!180158716895690752> you herd the bot My sources say no
11 Jul 2016 23:26:44 : Cipher , Calamariela#4119 , nahhh
11 Jul 2016 23:26:44 : Cipher , Wertfuzzy77#0274 , ;funify one of us
11 Jul 2016 23:26:44 : Cipher , Botfuzzy77#2209 , OONnee, oof uus} 
11 Jul 2016 23:26:48 : Cipher , Wertfuzzy77#0274 , do it
11 Jul 2016 23:26:50 : Cipher , Calamariela#4119 , im about to eat anyway
11 Jul 2016 23:26:54 : Cipher , Wertfuzzy77#0274 , rip
11 Jul 2016 23:27:07 : Cipher , Wertfuzzy77#0274 , i wanted to blast the anime song again xD
11 Jul 2016 23:27:14 : Cipher , Calamariela#4119 , oooo
11 Jul 2016 23:27:16 : Cipher , Calamariela#4119 , wait
11 Jul 2016 23:27:17 : Cipher , RoyGasm ;)#7098 , fuck you <@183307266475294721>
11 Jul 2016 23:27:19 : Cipher , Calamariela#4119 , hmmmm
11 Jul 2016 23:27:34 : Cipher , Calamariela#4119 , roy you just jelly
11 Jul 2016 23:27:52 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=kuNixp-wvWM
11 Jul 2016 23:28:03 : Cipher , RoyGasm ;)#7098 , <@183307266475294721> fuck you
11 Jul 2016 23:28:11 : Cipher , RoyGasm ;)#7098 , i'm not gay like you
11 Jul 2016 23:28:16 : Cipher , Wertfuzzy77#0274 , bet
11 Jul 2016 23:28:19 : Cipher , Calamariela#4119 , i wish yo
11 Jul 2016 23:28:21 : Cipher , Wertfuzzy77#0274 , that name tho
11 Jul 2016 23:28:44 : Cipher , Wertfuzzy77#0274 , ;funify JOIN US, CALA
11 Jul 2016 23:28:45 : Cipher , Botfuzzy77#2209 , jOoI7n;n U^s, cAlLA$a 
11 Jul 2016 23:28:49 : Cipher , Wertfuzzy77#0274 , ;funify ONE OF US
11 Jul 2016 23:28:49 : Cipher , Botfuzzy77#2209 , onNEe O.f: uSs 
11 Jul 2016 23:28:53 : Cipher , Wertfuzzy77#0274 , ;funify ONE OF US
11 Jul 2016 23:28:53 : Cipher , Botfuzzy77#2209 , Oonn;ee oF UUSs 
11 Jul 2016 23:28:54 : Cipher , Wertfuzzy77#0274 , ;funify ONE OF US
11 Jul 2016 23:28:54 : Cipher , Botfuzzy77#2209 , oOnE Of0 uuS^ 
11 Jul 2016 23:29:20 : Cipher , Calamariela#4119 , eh
11 Jul 2016 23:29:22 : Cipher , Calamariela#4119 , xD
11 Jul 2016 23:29:27 : Cipher , Wertfuzzy77#0274 , lol
11 Jul 2016 23:29:30 : Cipher , Wertfuzzy77#0274 , 11/10 name
11 Jul 2016 23:29:39 : Cipher , Wertfuzzy77#0274 , <@!151163520120127488>
11 Jul 2016 23:30:05 : Cipher , Wertfuzzy77#0274 , ya apparely
11 Jul 2016 23:30:11 : Cipher , Wertfuzzy77#0274 , join the music channel tho!!
11 Jul 2016 23:30:12 : Cipher , Calamariela#4119 , hey <@!151163520120127488>
11 Jul 2016 23:30:21 : Cipher , Calamariela#4119 , talk
11 Jul 2016 23:30:23 : Cipher , Calamariela#4119 , plsss
11 Jul 2016 23:30:47 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=kuNixp-wvWM
11 Jul 2016 23:30:52 : Cipher , Calamariela#4119 , or i change your name into something worse
11 Jul 2016 23:30:55 : Cipher , RoyGasm ;)#7098 , <@134441036905840640>
11 Jul 2016 23:30:57 : Cipher , Wertfuzzy77#0274 , wut
11 Jul 2016 23:31:00 : Cipher , Wertfuzzy77#0274 , ;relog
11 Jul 2016 23:31:00 : Cipher , Botfuzzy77#2209 , Relogging...
