12 Jul 2016 02:02:40 : Cipher , RoyGasm ;)#7098 , fuck you
12 Jul 2016 02:05:05 : Cipher , Botfuzzy77#2209 , Fun.: Some Nights [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=qQkBeOisNM0)

12 Jul 2016 02:05:15 : Cipher , Wertfuzzy77#0274 , better?
12 Jul 2016 02:05:24 : Cipher , RoyGasm ;)#7098 , kinda
12 Jul 2016 02:06:36 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=kVpv8-5XWOI
12 Jul 2016 02:07:10 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=Ri7-vnrJD3k
12 Jul 2016 02:07:33 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=EHkozMIXZ8w
12 Jul 2016 02:07:43 : Cipher , RoyGasm ;)#7098 , ITS WHERE my demons hide
12 Jul 2016 02:08:02 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=IcrbM1l_BoI
12 Jul 2016 02:08:08 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:08:08 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:08:08 : Cipher , Botfuzzy77#2209 , Coldplay - The Scientist (https://www.youtube.com/watch?v=RB-RcX5DS5A)

12 Jul 2016 02:08:08 : Cipher , Botfuzzy77#2209 , Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=Sv6dMFF_yts)

12 Jul 2016 02:08:09 : Cipher , Botfuzzy77#2209 , Fun.: Some Nights [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=qQkBeOisNM0)

12 Jul 2016 02:08:09 : Cipher , Botfuzzy77#2209 , Train - Hey, Soul Sister (https://www.youtube.com/watch?v=kVpv8-5XWOI)

12 Jul 2016 02:08:13 : Cipher , Botfuzzy77#2209 , Adele - Set Fire To The Rain (Live at The Royal Albert Hall) (https://www.youtube.com/watch?v=Ri7-vnrJD3k)

12 Jul 2016 02:08:13 : Cipher , Botfuzzy77#2209 , Eminem - The Monster (Explicit) ft. Rihanna (https://www.youtube.com/watch?v=EHkozMIXZ8w)

12 Jul 2016 02:08:14 : Cipher , Botfuzzy77#2209 , Avicii - Wake Me Up (Official Video) (https://www.youtube.com/watch?v=IcrbM1l_BoI)

12 Jul 2016 02:08:49 : Cipher , Wertfuzzy77#0274 , that a good playlist?
12 Jul 2016 02:09:02 : Cipher , RoyGasm ;)#7098 , ye
12 Jul 2016 02:09:12 : Cipher , RoyGasm ;)#7098 , but that wake my up song
12 Jul 2016 02:09:19 : Cipher , RoyGasm ;)#7098 , i've herd it like 10000000000000 times
12 Jul 2016 02:09:24 : Cipher , RoyGasm ;)#7098 , its boring to me
12 Jul 2016 02:09:29 : Cipher , Wertfuzzy77#0274 , which one?
12 Jul 2016 02:09:34 : Cipher , RoyGasm ;)#7098 , Avicii - Wake Me Up (Official Video)
12 Jul 2016 02:09:35 : Cipher , Wertfuzzy77#0274 , the last 1?
12 Jul 2016 02:09:47 : Cipher , Wertfuzzy77#0274 , ;remove 7
12 Jul 2016 02:09:55 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:09:55 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:09:55 : Cipher , Botfuzzy77#2209 , Coldplay - The Scientist (https://www.youtube.com/watch?v=RB-RcX5DS5A)

12 Jul 2016 02:09:55 : Cipher , Botfuzzy77#2209 , Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=Sv6dMFF_yts)

12 Jul 2016 02:09:55 : Cipher , Botfuzzy77#2209 , Fun.: Some Nights [OFFICIAL VIDEO] (https://www.youtube.com/watch?v=qQkBeOisNM0)

12 Jul 2016 02:09:55 : Cipher , Botfuzzy77#2209 , Train - Hey, Soul Sister (https://www.youtube.com/watch?v=kVpv8-5XWOI)

12 Jul 2016 02:10:00 : Cipher , Botfuzzy77#2209 , Adele - Set Fire To The Rain (Live at The Royal Albert Hall) (https://www.youtube.com/watch?v=Ri7-vnrJD3k)

12 Jul 2016 02:10:00 : Cipher , Botfuzzy77#2209 , Eminem - The Monster (Explicit) ft. Rihanna (https://www.youtube.com/watch?v=EHkozMIXZ8w)

12 Jul 2016 02:10:00 : Cipher , Botfuzzy77#2209 , Avicii - Wake Me Up (Official Video) (https://www.youtube.com/watch?v=IcrbM1l_BoI)

12 Jul 2016 02:10:03 : Cipher , Wertfuzzy77#0274 , ;remove 6
12 Jul 2016 02:10:05 : Cipher , Wertfuzzy77#0274 , oi
12 Jul 2016 02:10:08 : Cipher , Wertfuzzy77#0274 , why no work
12 Jul 2016 02:10:16 : Cipher , RoyGasm ;)#7098 , idk
12 Jul 2016 02:10:18 : Cipher , RoyGasm ;)#7098 , rip?
12 Jul 2016 02:10:44 : Cipher , Wertfuzzy77#0274 , wut
12 Jul 2016 02:10:48 : Cipher , Wertfuzzy77#0274 , <@!187609093001838602>  behave
12 Jul 2016 02:10:50 : Cipher , Wertfuzzy77#0274 , ;songs
12 Jul 2016 02:10:50 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
12 Jul 2016 02:10:51 : Cipher , Botfuzzy77#2209 , Adele - Set Fire To The Rain (Live at The Royal Albert Hall) (https://www.youtube.com/watch?v=Ri7-vnrJD3k)

12 Jul 2016 02:10:51 : Cipher , Botfuzzy77#2209 , Eminem - The Monster (Explicit) ft. Rihanna (https://www.youtube.com/watch?v=EHkozMIXZ8w)

12 Jul 2016 02:10:51 : Cipher , Botfuzzy77#2209 , Avicii - Wake Me Up (Official Video) (https://www.youtube.com/watch?v=IcrbM1l_BoI)

12 Jul 2016 02:10:56 : Cipher , RoyGasm ;)#7098 , HEYYY
12 Jul 2016 02:11:49 : Cipher , RoyGasm ;)#7098 , HEY SOUL SISTER
12 Jul 2016 02:11:54 : Cipher , RoyGasm ;)#7098 , FUCK YOU
12 Jul 2016 02:12:03 : Cipher , RoyGasm ;)#7098 , I DON'T LIKE the 10 caps
12 Jul 2016 02:12:13 : Cipher , Wertfuzzy77#0274 , get over it
12 Jul 2016 02:12:19 : Cipher , Wertfuzzy77#0274 , it keeps chat readable
12 Jul 2016 02:12:22 : Cipher , RoyGasm ;)#7098 , I wAnNa SpAm CaPs
12 Jul 2016 02:13:25 : Cipher , RoyGasm ;)#7098 , <@!134441036905840640> did you see the movie "me before you"?
12 Jul 2016 02:13:30 : Cipher , Wertfuzzy77#0274 , nah
12 Jul 2016 02:13:36 : Cipher , RoyGasm ;)#7098 , watch it
12 Jul 2016 02:13:39 : Cipher , RoyGasm ;)#7098 , sad ;-;
12 Jul 2016 02:13:45 : Cipher , RoyGasm ;)#7098 , good af tho
12 Jul 2016 02:14:12 : Cipher , Wertfuzzy77#0274 , watch Doctor who
12 Jul 2016 02:14:19 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 02:14:19 : Cipher , RoyGasm ;)#7098 , meh
