08 Jul 2016 00:23:32 : Cipher , Calamariela#4119 , change the rules....it should say....roy can never be staff
08 Jul 2016 00:30:07 : Cipher , Roy210#7098 , <@!134441036905840640> separate the roles tho
08 Jul 2016 00:30:32 : LimitlessMc , xPalkia(lugia)#8149 , Well
08 Jul 2016 00:30:37 : LimitlessMc , xPalkia(lugia)#8149 , Whats the problem then
08 Jul 2016 00:31:45 : LimitlessMc , Genesect#6492 , when i run out
08 Jul 2016 00:31:51 : LimitlessMc , Genesect#6492 , i cant get more
08 Jul 2016 00:31:57 : LimitlessMc , Genesect#6492 , because the pokestop wont load
08 Jul 2016 00:32:03 : LimitlessMc , Genesect#6492 , thats where you get em right
08 Jul 2016 00:32:14 : LimitlessMc , xPalkia(lugia)#8149 , <@135660968804876289>  you can get em from there or if you level up
08 Jul 2016 00:32:21 : LimitlessMc , Genesect#6492 , alright
08 Jul 2016 00:32:27 : LimitlessMc , Genesect#6492 , i have like 65 pokeballs
08 Jul 2016 00:32:31 : LimitlessMc , Genesect#6492 , i think ill be goods
08 Jul 2016 00:32:50 : LimitlessMc , xPalkia(lugia)#8149 , I'm just waiting for these pokes to come in my house
08 Jul 2016 00:32:56 : Cipher , Wertfuzzy77#0274 , ;relog
