23 Jul 2017 00:52:24 : LimitlessMc, botchat, Wertfuzzy77#0274, told you I needed to restart her xD
23 Jul 2017 00:54:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:54:34 : LimitlessMc, botchat, Wertfuzzy77#0274, gj
23 Jul 2017 00:54:37 : LimitlessMc, botchat, StubbyMuffins#1053, who pinged me
23 Jul 2017 00:54:37 : LimitlessMc, botchat, Botfuzzy77#2209, Added Fairy Tail Opening 1 + Subs CC to the queue
23 Jul 2017 00:54:41 : LimitlessMc, botchat, Crystal4209#4698, @Wertfuzzy77 how do i play playlists?
23 Jul 2017 00:54:44 : LimitlessMc, botchat, Wertfuzzy77#0274, pinged you forever ago
23 Jul 2017 00:54:48 : LimitlessMc, botchat, StubbyMuffins#1053, sup
23 Jul 2017 00:54:53 : LimitlessMc, botchat, Wertfuzzy77#0274, .;yplaylist link
23 Jul 2017 00:55:02 : LimitlessMc, botchat, Wertfuzzy77#0274, was jsut trying to balance Prestiges
23 Jul 2017 00:55:10 : LimitlessMc, botchat, Crystal4209#4698, ;yplaylist https://www.youtube.com/watch?v=tdrGjixAtKU&list=PL25C0B3510ECE5532
23 Jul 2017 00:55:11 : LimitlessMc, botchat, Botfuzzy77#2209, Finished Adding songs from playlist
23 Jul 2017 00:55:19 : LimitlessMc, botchat, Crystal4209#4698, ...
23 Jul 2017 00:55:21 : LimitlessMc, botchat, Wertfuzzy77#0274, so Prestiges now give +8% bonus XP per prestige
23 Jul 2017 00:55:24 : LimitlessMc, botchat, Crystal4209#4698, ;recommend
23 Jul 2017 00:55:24 : LimitlessMc, botchat, Botfuzzy77#2209, Recommend Songs to play: False
23 Jul 2017 00:55:29 : LimitlessMc, botchat, Crystal4209#4698, ;skip
23 Jul 2017 00:55:29 : LimitlessMc, botchat, Botfuzzy77#2209, Skipping Fairy Tail - Dragon Force Ost by request of the requester
23 Jul 2017 00:55:32 : LimitlessMc, botchat, Crystal4209#4698, ;songs
23 Jul 2017 00:55:35 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:55:35 : LimitlessMc, botchat, Wertfuzzy77#0274, try this link @Crystal4209 https://www.youtube.com/playlist?list=PL25C0B3510ECE5532
23 Jul 2017 00:55:42 : LimitlessMc, botchat, Wertfuzzy77#0274, needs to be the direct link to the playlist
23 Jul 2017 00:55:48 : LimitlessMc, botchat, Crystal4209#4698, i see
23 Jul 2017 00:55:51 : LimitlessMc, botchat, Crystal4209#4698, ;clear
23 Jul 2017 00:56:02 : LimitlessMc, botchat, Wertfuzzy77#0274, no idea if it will let you clear
23 Jul 2017 00:56:04 : LimitlessMc, botchat, Wertfuzzy77#0274, ;songs
23 Jul 2017 00:56:06 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 00:56:08 : LimitlessMc, botchat, Wertfuzzy77#0274, nope 😛
23 Jul 2017 00:56:11 : LimitlessMc, botchat, Wertfuzzy77#0274, let me patch that
23 Jul 2017 00:56:45 : None, Direct Message with Crystal4209, Crystal4209#4698, ;pbs
23 Jul 2017 00:56:47 : None, Direct Message with Crystal4209, Botfuzzy77#2209, 
23 Jul 2017 00:56:56 : LimitlessMc, botchat, Crystal4209#4698, now i need to take down bosses :L
23 Jul 2017 00:58:11 : LimitlessMc, botchat, Crystal4209#4698, i need to change my profile picture xD
23 Jul 2017 00:58:21 : LimitlessMc, botchat, Wertfuzzy77#0274, bot needs a restart
23 Jul 2017 00:58:23 : LimitlessMc, botchat, Wertfuzzy77#0274, ;relog
