29 Jul 2017 13:30:02 : Proton Gaming Network, infinityevolved, Pikadude1228#0109, No, unexpected error when launching, I ended up deleting the mod pack and reinstalling it.
29 Jul 2017 13:32:51 : Proton Gaming Network, staff_general, Pikadude1228#0109, There it showed a difference of like 10 mods but when I launched it told me I had 6 or 7 duplicates
29 Jul 2017 13:50:23 : GreenHillGang, general, Botfuzzy77#2209, Added '*Michael Bublé Greatest Hits - Best Songs of Michael Bublé*' **1** more times
29 Jul 2017 14:02:49 : GreenHillGang, general, Wertfuzzy77#0274, ;music
29 Jul 2017 14:02:49 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 14:10:55 : LimitlessMc, botchat, Crystal4209#4698, ;train
29 Jul 2017 14:10:58 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:11:00 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:17:53 : Achievement Heaven, general, maddog780ca#9376, has anyone ever heard of the mc name Betsiebooxx? jw
29 Jul 2017 14:24:38 : LimitlessMc, botchat, AlphaBit#3869, ;train
29 Jul 2017 14:24:41 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:24:43 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:29:03 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
29 Jul 2017 14:29:05 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:29:07 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:43:08 : LimitlessMc, botchat, KidKraft#7732, ;train
29 Jul 2017 14:43:11 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:43:12 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 14:45:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
29 Jul 2017 14:45:38 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 809 seconds before you can train again.
29 Jul 2017 14:45:42 : LimitlessMc, botchat, Wertfuzzy77#0274, ;recent
29 Jul 2017 14:45:43 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 15:13:34 : Achievement Heaven, general, tigertiger02#4338, nope
29 Jul 2017 15:14:04 : Achievement Heaven, general, tigertiger02#4338, ill search it up
29 Jul 2017 15:14:41 : Achievement Heaven, general, maddog780ca#9376, seems like a nice person
29 Jul 2017 15:18:12 : Achievement Heaven, general, tigertiger02#4338, did u meet them on the server?
29 Jul 2017 15:18:33 : Achievement Heaven, general, maddog780ca#9376, yeah
29 Jul 2017 15:19:12 : Achievement Heaven, general, tigertiger02#4338, mmm
29 Jul 2017 15:21:52 : Achievement Heaven, staff-room, tigertiger02#4338, maddog the mc name of that person i found and it says they haven;t played for 1 year and 7 months
29 Jul 2017 15:22:11 : Achievement Heaven, staff-room, tigertiger02#4338, didn't want to say that in general
29 Jul 2017 15:22:28 : Achievement Heaven, staff-room, maddog780ca#9376, they were on the server a hour ago
29 Jul 2017 15:23:18 : Achievement Heaven, staff-room, tigertiger02#4338, check your messages
29 Jul 2017 15:29:13 : Achievement Heaven, general, 5655685#3072, ho w u doing yall
29 Jul 2017 15:29:19 : Achievement Heaven, general, tigertiger02#4338, good
29 Jul 2017 15:29:35 : Achievement Heaven, general, 5655685#3072, cool
29 Jul 2017 15:29:45 : Achievement Heaven, general, 5655685#3072, what u upto tigerrr
29 Jul 2017 15:30:28 : GreenHillGang, general, Wertfuzzy77#0274, ;train
29 Jul 2017 15:30:28 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:30:28 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:30:31 : GreenHillGang, general, Wertfuzzy77#0274, ;mine
29 Jul 2017 15:30:31 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:30:45 : Achievement Heaven, general, tigertiger02#4338, just watching some anime
29 Jul 2017 15:31:00 : GreenHillGang, general, Wertfuzzy77#0274, ;cd
29 Jul 2017 15:31:00 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:31:06 : Achievement Heaven, general, 5655685#3072, such as dragon ball z or something
29 Jul 2017 15:31:09 : Achievement Heaven, staff-room, maddog780ca#9376, try Betsiebooxxx that is what came up in the log
29 Jul 2017 15:31:15 : Achievement Heaven, staff-room, maddog780ca#9376, that is more recent
29 Jul 2017 15:31:20 : GreenHillGang, general, Wertfuzzy77#0274, ;cd
29 Jul 2017 15:31:20 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:31:20 : GreenHillGang, general, Wertfuzzy77#0274, ;pbs
29 Jul 2017 15:31:20 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:31:21 : Achievement Heaven, staff-room, tigertiger02#4338, k
29 Jul 2017 15:31:42 : GreenHillGang, general, Wertfuzzy77#0274, ;pb iiiiiiii
29 Jul 2017 15:31:42 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:31:42 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:31:43 : GreenHillGang, general, Wertfuzzy77#0274, ;pb iiiiiiii
29 Jul 2017 15:31:44 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:31:47 : Achievement Heaven, staff-room, tigertiger02#4338, that looks more real
29 Jul 2017 15:31:57 : Achievement Heaven, staff-room, tigertiger02#4338, 1 hour 32 mins
29 Jul 2017 15:37:01 : GreenHillGang, general, Wertfuzzy77#0274, ;pokemon Malamar
29 Jul 2017 15:37:01 : GreenHillGang, general, Botfuzzy77#2209, ***Malamar***
29 Jul 2017 15:37:02 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:37:02 : GreenHillGang, general, Botfuzzy77#2209, **Pixelmon Page**: <http://pixelmonmod.com/wiki/index.php?title=malamar>
**Bulbapedia Page**: <http://bulbapedia.bulbagarden.net/wiki/malamar>
**Pokemon DB**: <http://pokemondb.net/pokedex/malamar>
**Smogon**: <http://www.smogon.com/dex/bw/pokemon/malamar>
29 Jul 2017 15:40:47 : GreenHillGang, general, Wertfuzzy77#0274, ;pokedex snorlax
29 Jul 2017 15:40:47 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:40:56 : GreenHillGang, general, Wertfuzzy77#0274, ;pokemon trubbish
29 Jul 2017 15:40:56 : GreenHillGang, general, Botfuzzy77#2209, ***Trubbish***
29 Jul 2017 15:40:56 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:40:57 : GreenHillGang, general, Botfuzzy77#2209, **Pixelmon Page**: <http://pixelmonmod.com/wiki/index.php?title=trubbish>
**Bulbapedia Page**: <http://bulbapedia.bulbagarden.net/wiki/trubbish>
**Pokemon DB**: <http://pokemondb.net/pokedex/trubbish>
**Smogon**: <http://www.smogon.com/dex/bw/pokemon/trubbish>
29 Jul 2017 15:41:08 : GreenHillGang, general, Wertfuzzy77#0274, ;pokemon snorlax
29 Jul 2017 15:41:08 : GreenHillGang, general, Botfuzzy77#2209, ***Snorlax***
29 Jul 2017 15:41:09 : GreenHillGang, general, Botfuzzy77#2209, 
29 Jul 2017 15:41:09 : GreenHillGang, general, Botfuzzy77#2209, **Pixelmon Page**: <http://pixelmonmod.com/wiki/index.php?title=snorlax>
**Bulbapedia Page**: <http://bulbapedia.bulbagarden.net/wiki/snorlax>
**Pokemon DB**: <http://pokemondb.net/pokedex/snorlax>
**Smogon**: <http://www.smogon.com/dex/bw/pokemon/snorlax>
29 Jul 2017 15:42:09 : OblivionEvolved, mainchat, StubbyMuffins#1053, damn
29 Jul 2017 15:59:45 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Anyone if/when LucaHeller will be unbanned? Some guys are askin about it
29 Jul 2017 16:04:53 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, @jjtwilefc LucaHeller isn't banned?
29 Jul 2017 16:05:09 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Huh weird
29 Jul 2017 16:05:21 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, I'll get him to try to join
29 Jul 2017 16:05:27 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Oh shit hang on
29 Jul 2017 16:06:06 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Do you remember why he was banned?
29 Jul 2017 16:06:19 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Yeah he abused the voting glitch
29 Jul 2017 16:06:25 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, For infinite votes
29 Jul 2017 16:06:29 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Who banned him?
29 Jul 2017 16:06:32 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Mike
29 Jul 2017 16:06:48 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Alright, so it's showing in BanManager's ban list, but not when I run a check on his username
29 Jul 2017 16:06:59 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, I'll leave it to Mike to decide if he's unbanned or not
29 Jul 2017 16:07:07 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Yeah ok
29 Jul 2017 16:08:37 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Given his massive playtime of like 100 hours, it can probably be chalked up to a mistake - hell, he might already be unbanned - I don't know why it's showing on the list, but not on /bminfo
29 Jul 2017 16:08:58 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Whatever, i'm off again!
29 Jul 2017 16:09:04 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Right cya
29 Jul 2017 16:13:41 : Srbr, botfuzzy-channel, AlphaBit#3869, ;pbs
29 Jul 2017 16:13:41 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:13:47 : Srbr, botfuzzy-channel, AlphaBit#3869, ;train
29 Jul 2017 16:13:47 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:13:47 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:13:47 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:13:55 : Srbr, botfuzzy-channel, AlphaBit#3869, ;lv
29 Jul 2017 16:13:57 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:14:20 : Srbr, botfuzzy-channel, AlphaBit#3869, ;pb BBBIBBBB
29 Jul 2017 16:14:20 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:14:20 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:21:41 : Proton Gaming Network, staff_infinityevolved, royalsfan10#7753, He was temp banned the other day by mike
29 Jul 2017 16:22:37 : Proton Gaming Network, staff_infinityevolved, royalsfan10#7753, I think it was to do with that whole group trying to convince staff to give them stuff by saying there was like a 'glitch' etc.
29 Jul 2017 16:22:59 : Proton Gaming Network, staff_infinityevolved, royalsfan10#7753, So he was temp banned with a bunch of that whole group i do believe
29 Jul 2017 16:29:16 : Srbr, botfuzzy-channel, AlphaBit#3869, ;pb BEEIEEEE
29 Jul 2017 16:29:16 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:29:16 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:30:26 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 16:30:41 : Legacy Craft, screenshots, tigertiger02#4338, hope u like that it was a pain to make
29 Jul 2017 16:31:05 : Legacy Craft, screenshots, tigertiger02#4338, might aswell have used a glass pain
29 Jul 2017 16:32:21 : Srbr, botfuzzy-channel, AlphaBit#3869, ;pb BSSISSSS
29 Jul 2017 16:32:21 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:32:22 : Srbr, botfuzzy-channel, Botfuzzy77#2209, 
29 Jul 2017 16:34:00 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 16:34:05 : soviet union, mike4emo, LolopFace#5646, I now know like no one on here
29 Jul 2017 16:34:38 : soviet union, mike4emo, jjtwilefc#7374, Huh?
29 Jul 2017 16:35:25 : soviet union, mike4emo, LolopFace#5646, Btw do you have admin controls on this
29 Jul 2017 16:35:36 : soviet union, mike4emo, jjtwilefc#7374, Nope
29 Jul 2017 16:35:41 : soviet union, mike4emo, LolopFace#5646, Dam
29 Jul 2017 16:36:06 : soviet union, mike4emo, jjtwilefc#7374, I think I did but I left a couple times
29 Jul 2017 16:36:13 : soviet union, mike4emo, LolopFace#5646, Ok
29 Jul 2017 16:36:18 : soviet union, mike4emo, LolopFace#5646, 
29 Jul 2017 16:36:20 : soviet union, mike4emo, LolopFace#5646, My bun
29 Jul 2017 16:36:29 : soviet union, mike4emo, jjtwilefc#7374, It's fat
29 Jul 2017 16:36:34 : soviet union, mike4emo, LolopFace#5646, ❤
29 Jul 2017 16:36:37 : soviet union, mike4emo, LolopFace#5646, Kys
29 Jul 2017 16:36:41 : soviet union, mike4emo, LolopFace#5646, She's not
29 Jul 2017 16:36:46 : soviet union, mike4emo, jjtwilefc#7374, Well
29 Jul 2017 16:36:52 : soviet union, mike4emo, jjtwilefc#7374, Obese*
29 Jul 2017 16:36:56 : soviet union, mike4emo, LolopFace#5646, No
29 Jul 2017 16:37:00 : soviet union, mike4emo, LolopFace#5646, Just the fluff
29 Jul 2017 16:37:02 : soviet union, mike4emo, jjtwilefc#7374, Above average weight
29 Jul 2017 16:37:12 : soviet union, mike4emo, LolopFace#5646, She just very fluffy
29 Jul 2017 16:37:22 : soviet union, mike4emo, jjtwilefc#7374, That's what they all say
29 Jul 2017 16:37:30 : soviet union, mike4emo, LolopFace#5646, 
29 Jul 2017 16:37:41 : soviet union, mike4emo, jjtwilefc#7374, I have seen that picture alot
29 Jul 2017 16:37:49 : soviet union, mike4emo, LolopFace#5646, Lol
29 Jul 2017 16:37:53 : soviet union, mike4emo, LolopFace#5646, It's a good poc
29 Jul 2017 16:38:02 : Proton Gaming Network, staff_infinityevolved, madmike99222#6535, He was temp banned because somehow he abused a bug and voted repeatable on the 3rd website
29 Jul 2017 16:38:05 : Proton Gaming Network, staff_infinityevolved, madmike99222#6535, Even after being just told his friend was temp banned for doing that exact thing
29 Jul 2017 16:38:07 : soviet union, mike4emo, LolopFace#5646, What about
29 Jul 2017 16:38:08 : Proton Gaming Network, staff_infinityevolved, madmike99222#6535, Also let me guess is it aaron who is asking about him
29 Jul 2017 16:38:12 : soviet union, mike4emo, LolopFace#5646, 
29 Jul 2017 16:38:33 : soviet union, mike4emo, jjtwilefc#7374, Looks dry
29 Jul 2017 16:38:44 : soviet union, mike4emo, LolopFace#5646, Ye
29 Jul 2017 16:38:58 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Yeah it is
29 Jul 2017 16:39:14 : soviet union, mike4emo, LolopFace#5646, 
29 Jul 2017 16:39:19 : soviet union, mike4emo, LolopFace#5646, What about thsi is one
29 Jul 2017 16:39:24 : soviet union, mike4emo, jjtwilefc#7374, Idk
29 Jul 2017 16:39:25 : soviet union, mike4emo, jjtwilefc#7374, Probably
29 Jul 2017 16:39:31 : soviet union, mike4emo, LolopFace#5646, 
29 Jul 2017 16:39:34 : soviet union, mike4emo, LolopFace#5646, Watch taht video
29 Jul 2017 16:39:45 : soviet union, mike4emo, LolopFace#5646, It's good
29 Jul 2017 16:39:47 : Proton Gaming Network, staff_infinityevolved, madmike99222#6535, Tell him when the 1 week period from his temp ban is up he can come back on
29 Jul 2017 16:39:52 : soviet union, mike4emo, jjtwilefc#7374, (Offensive)
29 Jul 2017 16:39:56 : soviet union, mike4emo, LolopFace#5646, Ye
29 Jul 2017 16:40:01 : soviet union, mike4emo, jjtwilefc#7374, I can't I would get offended
29 Jul 2017 16:40:04 : soviet union, mike4emo, LolopFace#5646, Takes the piss of vegans
29 Jul 2017 16:40:11 : soviet union, mike4emo, jjtwilefc#7374, I am vegan
29 Jul 2017 16:40:17 : soviet union, mike4emo, LolopFace#5646, Muderer
29 Jul 2017 16:40:21 : soviet union, mike4emo, LolopFace#5646, Plants feel pain
29 Jul 2017 16:40:22 : soviet union, mike4emo, jjtwilefc#7374, 🍌
29 Jul 2017 16:40:26 : soviet union, mike4emo, jjtwilefc#7374, 🍒
29 Jul 2017 16:40:29 : soviet union, mike4emo, jjtwilefc#7374, Ha
29 Jul 2017 16:40:31 : soviet union, mike4emo, jjtwilefc#7374, Funny right
29 Jul 2017 16:40:43 : soviet union, mike4emo, LolopFace#5646, A banana has rights
29 Jul 2017 16:40:47 : soviet union, mike4emo, LolopFace#5646, You commie fuck
29 Jul 2017 16:41:09 : soviet union, mike4emo, jjtwilefc#7374, I don't get why vegans can't drink milk
29 Jul 2017 16:41:19 : soviet union, mike4emo, jjtwilefc#7374, Like that's just bein awkward
29 Jul 2017 16:41:35 : soviet union, mike4emo, LolopFace#5646, ✈️🏢🏢💣
29 Jul 2017 16:41:45 : soviet union, mike4emo, LolopFace#5646, Come from cows
29 Jul 2017 16:41:52 : soviet union, mike4emo, LolopFace#5646, Apparently it hurts
29 Jul 2017 16:41:54 : soviet union, mike4emo, LolopFace#5646, Or some shit
29 Jul 2017 16:41:57 : Proton Gaming Network, staff_infinityevolved, jjtwilefc#7374, Gotcha
29 Jul 2017 16:42:07 : soviet union, mike4emo, LolopFace#5646, They should eat free range eggs as well
29 Jul 2017 16:42:09 : soviet union, mike4emo, jjtwilefc#7374, It doesnt
29 Jul 2017 16:42:32 : soviet union, mike4emo, jjtwilefc#7374, There are these farms where the cows are queuing up to get milked
29 Jul 2017 16:42:45 : soviet union, mike4emo, jjtwilefc#7374, It's all automated and they get the choice of I they want to go in or not
29 Jul 2017 16:43:01 : soviet union, mike4emo, jjtwilefc#7374, Literally queuing up to get milked
29 Jul 2017 16:43:03 : soviet union, mike4emo, LolopFace#5646, Are there any pixelmon servers still open
29 Jul 2017 16:43:11 : soviet union, mike4emo, jjtwilefc#7374, Probably not
29 Jul 2017 16:43:16 : soviet union, mike4emo, LolopFace#5646, Damn
29 Jul 2017 16:43:32 : soviet union, mike4emo, LolopFace#5646, I think jay should've kept the servers open
29 Jul 2017 16:43:43 : soviet union, mike4emo, jjtwilefc#7374, Mmm
29 Jul 2017 16:44:27 : soviet union, mike4emo, LolopFace#5646, You interested in playing the actual Pokemon games
29 Jul 2017 16:44:37 : soviet union, mike4emo, jjtwilefc#7374, Nah
29 Jul 2017 16:44:41 : soviet union, mike4emo, LolopFace#5646, Dam
29 Jul 2017 16:45:48 : soviet union, mike4emo, LolopFace#5646, I want to get ultra sun or moon
29 Jul 2017 17:06:16 : Legacy Craft, admin, DJ Small#8652, ok
29 Jul 2017 17:06:27 : Legacy Craft, admin, DJ Small#8652, I'll talk mto them monday about it.
29 Jul 2017 17:07:11 : Legacy Craft, admin, DJ_Phatzo#8045, ok
29 Jul 2017 17:35:42 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Is the third site the shitty site?
29 Jul 2017 17:35:52 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, The one that's not minecraftmp or ftbserverlist
29 Jul 2017 17:36:26 : Proton Gaming Network, staff_infinityevolved, Ozicarus#8421, Because, if so, it might be worth bumping the rewards for voting on the other two and removing that - because it always has problems and brings next to no traffic in
29 Jul 2017 17:41:15 : soviet union, mike4emo, shuck#1142, Gay
29 Jul 2017 17:41:43 : RooberBoobers, kinkyrubiestalk, navel#8336, im gay
29 Jul 2017 17:45:40 : LimitlessMc, botchat, TherminatorX#6644, ;train goes choo choo
29 Jul 2017 17:45:42 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 17:45:45 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 17:45:51 : LimitlessMc, botchat, TherminatorX#6644, Yee
29 Jul 2017 17:46:14 : Legacy Craft, general, tigertiger02#4338, i made a design for something now i just need to make it compact
29 Jul 2017 17:49:22 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 17:49:24 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 17:49:27 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 17:49:40 : Legacy Craft, screenshots, DJ_Phatzo#8045, the hell is that
29 Jul 2017 17:49:46 : Legacy Craft, screenshots, tigertiger02#4338, something i need to compact
29 Jul 2017 17:50:26 : Legacy Craft, screenshots, tigertiger02#4338, what it does is remove part of whats going to be the floor but there more redstone for putting it back i am trying to figure out how to make it tiny
29 Jul 2017 17:51:04 : Legacy Craft, screenshots, tigertiger02#4338, i got an idea if i move a circit under it that would just make it go deaper which i think would be better
29 Jul 2017 17:51:43 : Legacy Craft, screenshots, tigertiger02#4338, i somehow just make a redstone clock
29 Jul 2017 17:51:49 : Legacy Craft, screenshots, tigertiger02#4338, lol
29 Jul 2017 17:51:57 : Legacy Craft, screenshots, DJ_Phatzo#8045, how do you _accidentally_ make a redstone clock
29 Jul 2017 17:52:14 : Legacy Craft, screenshots, tigertiger02#4338, idk i just broke something and redstone clock
29 Jul 2017 17:52:15 : Legacy Craft, screenshots, DJ_Phatzo#8045, thats like if I made a batch of brownies, and accidentally made cupcakes
29 Jul 2017 17:52:45 : Legacy Craft, screenshots, tigertiger02#4338, brownie cupcakes and u know brownies are little girls right
29 Jul 2017 17:52:49 : Legacy Craft, screenshots, tigertiger02#4338, lol
29 Jul 2017 17:53:00 : Legacy Craft, screenshots, DJ_Phatzo#8045, lol ?
29 Jul 2017 17:53:18 : Legacy Craft, screenshots, tigertiger02#4338, welp u don;t get it
29 Jul 2017 17:53:24 : Legacy Craft, screenshots, DJ_Phatzo#8045, i do not ._.
29 Jul 2017 17:53:46 : Legacy Craft, screenshots, tigertiger02#4338, brownies is like beavers / cubs for girls
29 Jul 2017 17:54:03 : Legacy Craft, screenshots, tigertiger02#4338, and u just said u made a batch of them
29 Jul 2017 17:54:11 : Legacy Craft, screenshots, DJ_Phatzo#8045, brownies as in the dessert
29 Jul 2017 17:54:23 : Legacy Craft, screenshots, tigertiger02#4338, ik
29 Jul 2017 17:54:34 : Legacy Craft, screenshots, DJ_Phatzo#8045, _le sigh_
29 Jul 2017 17:54:41 : Legacy Craft, screenshots, tigertiger02#4338, im trying to make a joke most people get once they say it in there head
29 Jul 2017 17:58:04 : LimitlessMc, botchat, AlphaBit#3869, 🚋
29 Jul 2017 17:58:09 : LimitlessMc, botchat, AlphaBit#3869, ;train
29 Jul 2017 17:58:12 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 17:58:13 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 17:58:14 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 17:58:14 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 17:58:18 : Legacy Craft, screenshots, tigertiger02#4338, still need it more compact
29 Jul 2017 17:59:12 : Legacy Craft, screenshots, tigertiger02#4338, got any ideas
29 Jul 2017 18:01:29 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 18:01:31 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 18:01:52 : Legacy Craft, screenshots, tigertiger02#4338, when u relize u click the old botton for screen shots and post old pics
29 Jul 2017 18:02:36 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 18:02:37 : Legacy Craft, screenshots, tigertiger02#4338, 
29 Jul 2017 18:02:43 : Legacy Craft, screenshots, tigertiger02#4338, better?
29 Jul 2017 18:03:33 : Legacy Craft, screenshots, DJ_Phatzo#8045, yeah
29 Jul 2017 18:03:49 : Legacy Craft, screenshots, tigertiger02#4338, now i need to figure out how to copy it lol
29 Jul 2017 18:04:12 : Legacy Craft, screenshots, tigertiger02#4338, guess ima get a bunch of screen shots
29 Jul 2017 18:04:25 : Legacy Craft, screenshots, DJ_Phatzo#8045, go for it
29 Jul 2017 18:04:28 : Legacy Craft, screenshots, DJ_Phatzo#8045, i'm semi-distracted
29 Jul 2017 18:04:32 : Legacy Craft, screenshots, tigertiger02#4338, k lol
29 Jul 2017 18:05:23 : Legacy Craft, screenshots, tigertiger02#4338, i am sure there is somthing like 4x4 to do this easier lol
29 Jul 2017 18:07:00 : Legacy Craft, general, DJ_Phatzo#8045, be back later
29 Jul 2017 18:07:03 : Legacy Craft, general, DJ_Phatzo#8045, gonna go wait for my cab
29 Jul 2017 18:07:10 : Legacy Craft, general, tigertiger02#4338, k bye
29 Jul 2017 18:07:25 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 u there i need to talk with u
29 Jul 2017 18:07:26 : Achievement Heaven, staff-room, Botfuzzy77#2209, Ok.
29 Jul 2017 18:07:48 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 i need company doc just left to wait for his cab will u stay with me
29 Jul 2017 18:07:49 : Achievement Heaven, staff-room, Botfuzzy77#2209, What do you need help with?
29 Jul 2017 18:08:04 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 coping a build i made in a video game
