21 Sep 2016 20:48:56 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;songs
21 Sep 2016 20:50:59 : The Wild Weeaboos, general, enragednuke#2565, rofl
21 Sep 2016 20:51:00 : LimitlessMc, botchat, Ankorzz#4034, not so fixed now is it
21 Sep 2016 20:51:01 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
21 Sep 2016 20:51:05 : LimitlessMc, botchat, Harambe#3735, ;luck
21 Sep 2016 20:51:05 : LimitlessMc, botchat, Botfuzzy77#2209, Harambe's luck is 7.85 out of 100, which is **Completly Horrible**
21 Sep 2016 20:51:06 : The Wild Weeaboos, general, enragednuke#2565, did you get in a pug with discord?
21 Sep 2016 20:51:07 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:51:08 : LimitlessMc, botchat, Harambe#3735, wtff
21 Sep 2016 20:51:10 : LimitlessMc, botchat, Harambe#3735, is this
21 Sep 2016 20:51:14 : LimitlessMc, botchat, Harambe#3735, ;lucl
21 Sep 2016 20:51:15 : The Wild Weeaboos, general, enragednuke#2565, sure
21 Sep 2016 20:51:16 : LimitlessMc, botchat, Harambe#3735, ;luck
21 Sep 2016 20:51:16 : LimitlessMc, botchat, Botfuzzy77#2209, Harambe's luck is 98.03 out of 100, which is **AMAZING**
21 Sep 2016 20:51:19 : The Wild Weeaboos, general, enragednuke#2565, lol
21 Sep 2016 20:51:20 : LimitlessMc, botchat, Harambe#3735, aaaya
21 Sep 2016 20:51:20 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;songs
21 Sep 2016 20:51:21 : The Wild Weeaboos, general, Botfuzzy77#2209, **The Following songs are in the Queue**
21 Sep 2016 20:51:21 : LimitlessMc, botchat, Harambe#3735, finally
21 Sep 2016 20:51:35 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;relog
