02 Aug 2016 20:47:42 : LimitlessMc, mainchat, xPalkia(lugia)#8149, RIP
02 Aug 2016 21:06:02 : LimitlessMc, mainchat, depthy#3405, assface
02 Aug 2016 21:06:04 : LimitlessMc, mainchat, LiBugPony#2583, @Mank can i have perms to show them the 140 mewtwo X3
02 Aug 2016 21:06:15 : Group, general, Botfuzzy77#2209, **Olivia**(No Role) is now Offline!
02 Aug 2016 21:06:15 : California Crobats, updates, Botfuzzy77#2209, **Olivia**(Elite Four) is now Offline!
02 Aug 2016 21:06:24 : LimitlessMc, botchat, Genesect#6492, ;server
02 Aug 2016 21:06:33 : LimitlessMc, botchat, Botfuzzy77#2209, *Server is Down :(*
02 Aug 2016 21:06:43 : LimitlessMc, mainchat, LiBugPony#2583, how do i get perms to send photos? 030
02 Aug 2016 21:07:07 : LimitlessMc, mainchat, Anarchy#7098, upload it to an image site and send the olink
02 Aug 2016 21:07:23 : LimitlessMc, mainchat, LiBugPony#2583, shit
02 Aug 2016 21:07:39 : LimitlessMc, mainchat, LiBugPony#2583, well i don't know that stuff oh well
02 Aug 2016 21:07:45 : LimitlessMc, mainchat, LiBugPony#2583, if you want the photo dm me X3
02 Aug 2016 21:08:51 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
02 Aug 2016 21:09:02 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
02 Aug 2016 21:11:33 : Group, general, Botfuzzy77#2209, **Olivia**(No Role) is now Online!
02 Aug 2016 21:11:33 : California Crobats, updates, Botfuzzy77#2209, **Olivia**(Elite Four) is now Online!
02 Aug 2016 21:11:47 : LimitlessMc, mainchat, LiBugPony#2583, serevr is still crashed ;-;
02 Aug 2016 21:12:42 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Its totally the reset
02 Aug 2016 21:12:44 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Wait
02 Aug 2016 21:12:45 : LimitlessMc, mainchat, xPalkia(lugia)#8149, No
02 Aug 2016 21:12:46 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Its not
02 Aug 2016 21:12:59 : LimitlessMc, mainchat, LiBugPony#2583, rip
02 Aug 2016 21:12:59 : California Crobats, updates, Botfuzzy77#2209, **PP23**(Elite Four) is now Online!
02 Aug 2016 21:13:13 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Online!
02 Aug 2016 21:14:15 : Group, general, Botfuzzy77#2209, **Olivia**(No Role) is now Offline!
02 Aug 2016 21:14:15 : California Crobats, updates, Botfuzzy77#2209, **Olivia**(Elite Four) is now Offline!
02 Aug 2016 21:14:32 : California Crobats, updates, Botfuzzy77#2209, **awesomepants2000**(Gym Leader) is now Online!
02 Aug 2016 21:14:41 : LimitlessMc, botchat, jjtwilefc#0051, @Gilles is music broke again?
02 Aug 2016 21:15:56 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Offline!
02 Aug 2016 21:16:02 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Eli**(Children of The Raw Man) is now Online!
02 Aug 2016 21:16:10 : LimitlessMc, mainchat, LiBugPony#2583, rip server
02 Aug 2016 21:16:16 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
02 Aug 2016 21:18:37 : LimitlessMc, botchat, Gilles#3169, it stopped like an hour ago
02 Aug 2016 21:18:47 : LimitlessMc, botchat, Gilles#3169, and now bot not in channel anymore
02 Aug 2016 21:18:51 : LimitlessMc, botchat, Gilles#3169, ;join
02 Aug 2016 21:19:04 : LimitlessMc, mainchat, LiBugPony#2583, in a few minuets i gotta go to school to turn in hella paperwork
02 Aug 2016 21:19:24 : LimitlessMc, botchat, Gilles#3169, but ill get some music
02 Aug 2016 21:19:26 : LimitlessMc, botchat, Gilles#3169, or at least try to
02 Aug 2016 21:19:30 : LimitlessMc, botchat, Gilles#3169, ;youtube https://www.youtube.com/watch?v=wJ-_ENvdvNs&list=PL4dxOxFdB5oKBlAi-C4XPTDrC51KduxVq
02 Aug 2016 21:19:34 : LimitlessMc, botchat, Gilles#3169, ;song
02 Aug 2016 21:19:34 : LimitlessMc, botchat, Botfuzzy77#2209, No Song Playing, ['NoneType' object has no attribute 'title']
02 Aug 2016 21:19:38 : LimitlessMc, botchat, Gilles#3169, ;songs
02 Aug 2016 21:19:38 : LimitlessMc, botchat, Botfuzzy77#2209, Queue is Empty
02 Aug 2016 21:19:47 : LimitlessMc, mainchat, Happy#8602, ;youtube https://www.youtube.com/watch?v=VIkN6Qrkctg
02 Aug 2016 21:20:12 : LimitlessMc, botchat, Gilles#3169, @jjtwilefc  music working
02 Aug 2016 21:20:14 : LimitlessMc, mainchat, DisDick#5807, ;songs
02 Aug 2016 21:20:19 : LimitlessMc, mainchat, Happy#8602, wtf is this song
02 Aug 2016 21:20:31 : LimitlessMc, botchat, Gilles#3169, ;youtube https://www.youtube.com/watch?v=mnSmQ7bT7Ic
