28 Sep 2016 15:25:03 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
28 Sep 2016 17:20:07 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jacksparrow**(No Role) is now Online!
28 Sep 2016 17:22:12 : GetPlebd, weeaboo-chat, Harrys#3922, https://www.youtube.com/watch?v=RzA4dCT4X0I
28 Sep 2016 17:23:10 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 17:24:47 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
28 Sep 2016 17:25:04 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
28 Sep 2016 17:25:11 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
28 Sep 2016 17:25:20 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Offline!
28 Sep 2016 17:28:14 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
28 Sep 2016 17:28:14 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
28 Sep 2016 17:31:36 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Offline!
28 Sep 2016 17:31:36 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
28 Sep 2016 17:32:27 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jacksparrow**(No Role) is now Online!
28 Sep 2016 17:35:40 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
28 Sep 2016 17:44:10 : GetPlebd, weeaboo-chat, druif#0498, http://www.eurogamer.net/articles/2016-09-28-advertising-standards-launches-investigation-into-no-mans-sky
28 Sep 2016 17:44:12 : GetPlebd, weeaboo-chat, druif#0498, http://www.eurogamer.net/articles/2016-09-28-advertising-standards-launches-investigation-into-no-mans-sky
28 Sep 2016 17:44:13 : GetPlebd, weeaboo-chat, druif#0498, http://www.eurogamer.net/articles/2016-09-28-advertising-standards-launches-investigation-into-no-mans-sky
28 Sep 2016 17:48:18 : Penguins, leshemale, Botfuzzy77#2209, **Imposter Snake**(Suicune) is now Offline!
28 Sep 2016 17:51:58 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **warnier**(No Role) is now Online!
28 Sep 2016 17:52:04 : Penguins, leshemale, Botfuzzy77#2209, **SurvivraInHellAKASchool**(Deoxys) is now Online!
28 Sep 2016 17:52:21 : Penguins, leshemale, SurvivraInHellAKASchool#7191, Turkey lmao
28 Sep 2016 17:52:28 : Penguins, leshemale, SurvivraInHellAKASchool#7191, Turkish hard af
28 Sep 2016 17:52:53 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **warnier**(No Role) is now Online!
28 Sep 2016 17:54:46 : Penguins, leshemale, Botfuzzy77#2209, **SurvivraInHellAKASchool**(Deoxys) is now Offline!
28 Sep 2016 17:58:01 : Cipher, general, Botfuzzy77#2209, **Fuze - Josh**(Grunt) is now Online!
28 Sep 2016 18:01:02 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **YalHasItAll**(No Role) is now Online!
28 Sep 2016 18:01:46 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 18:02:18 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **ErisBot**(bot) is now Offline!
28 Sep 2016 18:02:28 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **druif**(Nazi) is now Offline!
28 Sep 2016 18:03:08 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **ErisBot**(bot) is now Online!
28 Sep 2016 18:04:28 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 18:05:52 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 18:09:17 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TheBaconater0**(Priests of The Raw Man) is now Online!
28 Sep 2016 18:10:37 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 18:10:41 : Cipher, general, Botfuzzy77#2209, **Jabulla**(Grunt) is now Offline!
28 Sep 2016 18:11:08 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist MJackson MJackson MJackson MJackson MJackson MJackson MJackson
28 Sep 2016 18:11:17 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TheBaconater0**(Priests of The Raw Man) is now Offline!
28 Sep 2016 18:11:33 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
28 Sep 2016 18:12:11 : The Wild Weebs, music, Wertfuzzy77#0274, ;relog
28 Sep 2016 18:12:11 : The Wild Weebs, music, Botfuzzy77#2209, Relogging...
