31 Aug 2017 02:15:21 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, I'm back
31 Aug 2017 02:18:18 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, Connected channel!
31 Aug 2017 02:18:23 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;;search hotel california
31 Aug 2017 02:18:34 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, Added Eagles   Hotel California 1976) HDHQ to the queue
31 Aug 2017 02:18:34 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, https://www.youtube.com/watch?v=HbsMziT9KLM
31 Aug 2017 02:18:49 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Karen best girl
31 Aug 2017 02:18:57 : Botfuzzy77 Living Quarters, general, Wertfuzzy77#0274, bet
31 Aug 2017 02:19:05 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, beg
31 Aug 2017 02:19:08 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Bat
31 Aug 2017 02:19:11 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Bet
31 Aug 2017 02:19:13 : Botfuzzy77 Living Quarters, general, Wertfuzzy77#0274, bot
31 Aug 2017 02:19:14 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Le
31 Aug 2017 02:19:58 : Botfuzzy77 Living Quarters, general, AlphaBees#3869, Actually its psychopathic tsundere stapler girl
31 Aug 2017 02:21:39 : Botfuzzy77 Living Quarters, general, Wertfuzzy77#0274, o
31 Aug 2017 02:21:51 : Botfuzzy77 Living Quarters, general, Wertfuzzy77#0274, that sounds like the main female in that anime xD
31 Aug 2017 02:22:01 : BetterThanGamers, mainchat, JustinOPGamer#9138, yes
31 Aug 2017 02:22:06 : BetterThanGamers, mainchat, JustinOPGamer#9138, but also the champ
31 Aug 2017 02:22:06 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;;join
31 Aug 2017 02:22:06 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, Connected channel!
31 Aug 2017 02:22:08 : BetterThanGamers, mainchat, JustinOPGamer#9138, on league
31 Aug 2017 02:22:10 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;search hotel california
31 Aug 2017 02:22:10 : Botfuzzy77 Living Quarters, bot-commands, Botfuzzy77#2209, The Bot isnt connected in this server!
31 Aug 2017 02:22:15 : PokeIslands, general, KiritoSanPlays#2208, we have to wait for them to finish the perms though
31 Aug 2017 02:22:16 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;;search hotel california
31 Aug 2017 02:22:28 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, Added Eagles – Hotel California (LYRICS) to the queue
31 Aug 2017 02:22:28 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, https://www.youtube.com/watch?v=hTU4YygWVsY
31 Aug 2017 02:22:29 : PokeIslands, general, dragonbro0803#0985, what do you mean?
31 Aug 2017 02:26:19 : PokeIslands, general, KiritoSanPlays#2208, are rank colors also set?
31 Aug 2017 02:27:17 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, Helper is
31 Aug 2017 02:27:21 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, It's yellow
31 Aug 2017 02:27:45 : PokeIslands, general, dragonbro0803#0985, Default is PokeTrainer in grey
31 Aug 2017 02:28:04 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, Omg my mc is not responding again -_-
31 Aug 2017 02:28:15 : Pixelkindom, discord-to-minecraft, Lycrysic Server Bot#1200, **[Server]** World saved.
31 Aug 2017 02:30:08 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, Imma just restart my pc its acting up
31 Aug 2017 02:30:11 : PokeIslands, general, KiritoSanPlays#2208, helper is supposed to have yellow/golden -= besides the rank name and helper needs to be green
31 Aug 2017 02:30:12 : Botfuzzy77 Living Quarters, bot-commands, Wertfuzzy77#0274, ;;loop
31 Aug 2017 02:30:14 : Botfuzzy77 Living Quarters, bot-commands, Devfuzzy77#4953, Added '*Eagles – Hotel California (LYRICS)*' **1** more times
31 Aug 2017 02:30:23 : PokeIslands, general, dragonbro0803#0985, Eh
31 Aug 2017 02:31:11 : PokeIslands, general, KiritoSanPlays#2208, so &6-=&2Helper&6=-
31 Aug 2017 02:31:22 : PokeIslands, general, KiritoSanPlays#2208, not to mention brackets &f[&f]
31 Aug 2017 02:32:38 : PokeIslands, general, dragonbro0803#0985, ew thats ugly
31 Aug 2017 02:32:47 : PokeIslands, general, dragonbro0803#0985, the green is really bad
31 Aug 2017 02:32:55 : PokeIslands, general, dragonbro0803#0985, ima try light green
31 Aug 2017 02:32:57 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, Lol
31 Aug 2017 02:33:14 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, Auqa blue
31 Aug 2017 02:33:28 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, Try that
31 Aug 2017 02:33:31 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, And bold
31 Aug 2017 02:33:59 : PokeIslands, general, dragonbro0803#0985, nah
31 Aug 2017 02:34:05 : PokeIslands, general, dragonbro0803#0985, light green is good enough
31 Aug 2017 02:34:06 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, And for gyms leader tags make it like the Color of there type
31 Aug 2017 02:34:23 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, That sounds good right
31 Aug 2017 02:34:25 : PokeIslands, general, 🅳🅰🅽🅽🆈#3904, ?
31 Aug 2017 02:34:54 : PokeIslands, general, dragonbro0803#0985, ye
31 Aug 2017 02:35:59 : Proton Gaming Network, bot_commands, Wertfuzzy77#0274, ;search hotel california
31 Aug 2017 02:36:31 : Proton Gaming Network, bot_commands, Botfuzzy77#2209, Sorry, couldnt find anything :(
31 Aug 2017 02:38:18 : Pixelkindom, discord-to-minecraft, Lycrysic Server Bot#1200, **[Server]** World saved.
