03 Oct 2016 00:15:21 : LimitlessMc, mainchat, MelvZz#6815, pffft you cant even see your face @Lightning
03 Oct 2016 13:47:10 : LimitlessMc, mainchat, Crimson239#7255, What lel
03 Oct 2016 13:47:37 : LimitlessMc, mainchat, Crimson239#7255, Why did I just get that notification
03 Oct 2016 13:47:45 : LimitlessMc, mainchat, Gilles#3169, because why not?
03 Oct 2016 13:48:01 : LimitlessMc, mainchat, Gilles#3169, som1 pliz help me
03 Oct 2016 13:49:12 : LimitlessMc, mainchat, Crimson239#7255, Draw or something idk lel. Pay attention in class
03 Oct 2016 13:49:43 : LimitlessMc, mainchat, Lightning#6734, ^
03 Oct 2016 13:54:48 : LimitlessMc, mainchat, Gilles#3169, we not doing fcking anything
03 Oct 2016 13:57:45 : LimitlessMc, mainchat, Gilles#3169, looks like after 40 minutes we finally are gonna do something... bye
03 Oct 2016 14:51:03 : LimitlessMc, mainchat, Gilles#3169, and ofc we ended up doing something that would have been 5x faster if i just did it at home...
03 Oct 2016 14:55:43 : LimitlessMc, mainchat, NorthOfTime#1507, Heres the real question though... If prof sent it with you to do at home, would you do it, or procrastinate doing it.
03 Oct 2016 15:04:27 : GetPlebd, weeaboo-chat, Gilles#3169, .music play when im bored 2 hours
03 Oct 2016 15:04:30 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] @Gilles has added `When I'm Bored - 2 hours` to the queue. (`01:59:51`) [`0`]
03 Oct 2016 15:30:41 : GetPlebd, weeaboo-chat, Gilles#3169, .music play erectin a river for 1 hour
03 Oct 2016 15:30:41 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] You are not in a voice channel!
03 Oct 2016 15:30:51 : GetPlebd, weeaboo-chat, Gilles#3169, .music play erectin a river for 1 hour
03 Oct 2016 15:30:54 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] @Gilles has added `Erectin' a River 1 Hour Loop` to the queue. (`01:00:21`) [`0`]
03 Oct 2016 15:31:03 : GetPlebd, weeaboo-chat, Gilles#3169, .music skip
03 Oct 2016 15:31:03 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] The DJ has decided to skip!
03 Oct 2016 15:37:57 : LimitlessMc, mainchat, Lightning#6734, @Topheralan  stahp bein afk when i need you lel
03 Oct 2016 15:38:16 : LimitlessMc, mainchat, Topheralan#1202, Pooping again.
03 Oct 2016 15:38:25 : LimitlessMc, mainchat, Lightning#6734, damn mate what'd you eat?
03 Oct 2016 15:38:28 : LimitlessMc, mainchat, Topheralan#1202, #sorrynotsorry
03 Oct 2016 15:38:33 : LimitlessMc, mainchat, Topheralan#1202, Idk
03 Oct 2016 15:38:38 : LimitlessMc, mainchat, Topheralan#1202, But it hates me
03 Oct 2016 15:38:42 : LimitlessMc, mainchat, Lightning#6734, rip
03 Oct 2016 16:23:59 : LimitlessMc, mainchat, Legend#1091, Does anyone else have an issue where pixelmon suddenly drops down to 7 fps and eats all your ram?
03 Oct 2016 16:24:14 : LimitlessMc, mainchat, Legend#1091, it happens once every couple hours or so
03 Oct 2016 17:00:16 : GetPlebd, weeaboo-chat, Gilles#3169, .music play brainpower study music 1 hour
03 Oct 2016 17:00:25 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, gay
03 Oct 2016 17:06:12 : GetPlebd, weeaboo-chat, Gilles#3169, wa
03 Oct 2016 17:29:57 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, https://www.youtube.com/watch?v=E-vLGOREyYU
03 Oct 2016 17:32:07 : GetPlebd, weeaboo-chat, Gilles#3169, .music skip
03 Oct 2016 17:32:07 : GetPlebd, weeaboo-chat, ErisBot#1777, [**Music**] The DJ has decided to skip!
03 Oct 2016 17:33:36 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
03 Oct 2016 17:33:40 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist AnimeOpenings AnimeOpenings AnimeOpenings AnimeOpenings
03 Oct 2016 17:34:21 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
03 Oct 2016 17:39:31 : LimitlessMc, mainchat, Lightning#6734, not really
03 Oct 2016 17:39:54 : LimitlessMc, mainchat, SurvivraInHellAKASchool#7191, Use optifine?  
@Legend
03 Oct 2016 17:40:00 : LimitlessMc, mainchat, Lightning#6734, ^
03 Oct 2016 17:49:57 : LimitlessMc, mainchat, Legend#1091, i do not
03 Oct 2016 17:50:03 : LimitlessMc, mainchat, Legend#1091, pixelmon was actually my first mc mod
03 Oct 2016 17:55:34 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, helemaal klaar mee
03 Oct 2016 17:56:34 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, meneer
03 Oct 2016 17:56:34 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, nee nee ne
03 Oct 2016 17:56:56 : GetPlebd, weeaboo-chat, I-Like-Pizzja#5222, ik ga lol oden
03 Oct 2016 17:58:33 : The Wild Weebs, weeb, Tally#2764, lol
03 Oct 2016 18:01:36 : GetPlebd, weeaboo-chat, Harrys#3922, LoL sucks
03 Oct 2016 18:08:23 : LimitlessMc, mainchat, Lightning#6734, use optifine
03 Oct 2016 18:11:31 : LimitlessMc, mainchat, Lightning#6734, @Jay113355 we made you a shrine! [IMG]http://i66.tinypic.com/30cbqpw.jpg[/IMG]
03 Oct 2016 18:14:36 : LimitlessMc, mainchat, Crimson239#7255, ayeee
03 Oct 2016 18:14:53 : LimitlessMc, mainchat, Crimson239#7255, that pictures so noice
03 Oct 2016 18:17:56 : LimitlessMc, botchat, Resolate#7058, !luck
03 Oct 2016 18:17:57 : LimitlessMc, botchat, Gerald#7099, My calculations say that undefined will have 66.3309000320721140% luck today
03 Oct 2016 18:17:59 : LimitlessMc, botchat, Resolate#7058, !rate
03 Oct 2016 18:18:00 : LimitlessMc, botchat, Gerald#7099, Hmmm, I'd say I like undefined to 11.1915920225719910%
03 Oct 2016 18:18:03 : LimitlessMc, botchat, Resolate#7058, ;luck
03 Oct 2016 18:18:03 : LimitlessMc, botchat, Botfuzzy77#2209, Resolate's luck is 25.62 out of 100, which is **Pretty Bad**
03 Oct 2016 18:18:11 : LimitlessMc, botchat, Resolate#7058, !words
03 Oct 2016 18:18:51 : LimitlessMc, botchat, Resolate#7058, !words
