01 Sep 2016 01:24:28 : Cipher, cala, Wertfuzzy77#0274, ;join
01 Sep 2016 02:09:53 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 02:12:33 : League Of Legends, general, Botfuzzy77#2209, **Legit_0reo**(Security) is now Online!
01 Sep 2016 02:12:52 : League Of Legends, general, Botfuzzy77#2209, **fucking cancer**(No Role) is now Offline!
01 Sep 2016 02:13:16 : League Of Legends, general, Botfuzzy77#2209, **fucking cancer**(No Role) is now Online!
01 Sep 2016 02:13:52 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
01 Sep 2016 02:21:01 : Penguins, general, Botfuzzy77#2209, **Impasta Snake**(Suicune) is now Online!
01 Sep 2016 02:21:58 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
01 Sep 2016 02:23:25 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
01 Sep 2016 02:30:45 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
01 Sep 2016 02:31:08 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
01 Sep 2016 02:34:43 : Penguins, general, Botfuzzy77#2209, **Impasta Snake**(Suicune) is now Offline!
01 Sep 2016 02:34:57 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
01 Sep 2016 02:36:47 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
01 Sep 2016 02:38:23 : The Pleb Privateers, general, enragednuke#2565, @Tally y u ignoring myy whispers fkr
01 Sep 2016 02:38:50 : The Pleb Privateers, general, Tally#2764, i didnt even get on?
01 Sep 2016 02:38:51 : The Pleb Privateers, general, Tally#2764, one?
01 Sep 2016 02:38:57 : The Pleb Privateers, general, enragednuke#2565, uhh
01 Sep 2016 02:38:57 : The Pleb Privateers, general, enragednuke#2565, sir
01 Sep 2016 02:39:05 : The Pleb Privateers, general, enragednuke#2565, you're online and in azsuna
01 Sep 2016 02:39:10 : The Pleb Privateers, general, enragednuke#2565, oh
01 Sep 2016 02:39:11 : The Pleb Privateers, general, Tally#2764, i know
01 Sep 2016 02:39:15 : The Pleb Privateers, general, enragednuke#2565, nvm u actually meant one
01 Sep 2016 02:39:19 : The Pleb Privateers, general, Tally#2764, yes
01 Sep 2016 02:39:19 : The Pleb Privateers, general, enragednuke#2565, lol
01 Sep 2016 02:43:14 : League Of Legends, general, Botfuzzy77#2209, **Legit_0reo**(Security) is now Online!
01 Sep 2016 02:49:09 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Offline!
01 Sep 2016 02:49:09 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Offline!
01 Sep 2016 02:49:16 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
01 Sep 2016 02:49:16 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
01 Sep 2016 02:49:28 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
01 Sep 2016 02:49:28 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
01 Sep 2016 02:51:45 : League Of Legends, general, Botfuzzy77#2209, **fucking cancer**(No Role) is now Offline!
01 Sep 2016 03:03:02 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
01 Sep 2016 03:06:17 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
01 Sep 2016 03:07:18 : LimitlessMc, mainchat, Wojo#2833, jay add a move relearner
01 Sep 2016 03:07:27 : LimitlessMc, mainchat, Wojo#2833, jay add a move relearner
01 Sep 2016 03:08:48 : LimitlessMc, mainchat, Topheralan#1202, And an income for players
01 Sep 2016 03:09:21 : LimitlessMc, mainchat, MoshonT#8152, If you add Income for players I'll come with my tail behind my legs, then I can just by back the items I need
01 Sep 2016 03:09:27 : LimitlessMc, mainchat, MoshonT#8152, And I'm a whore like that
01 Sep 2016 03:09:53 : LimitlessMc, mainchat, MoshonT#8152, I'm giving PBJs behind the spawn
01 Sep 2016 03:11:18 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
01 Sep 2016 03:13:38 : LimitlessMc, mainchat, Wojo#2833, there needs to be a way to add new money into the flow of people no way to earn new money for the people playing the server
01 Sep 2016 03:14:59 : LimitlessMc, mainchat, Harambe#3735, Isn't the income selling stuff? unless you're talking about the whole money which is with @ParchedEntree -.-
01 Sep 2016 03:15:20 : LimitlessMc, mainchat, Wojo#2833, true parched has like 40k
01 Sep 2016 03:15:21 : League Of Legends, general, Botfuzzy77#2209, **Anarchy**(Officer) is now Online!
01 Sep 2016 03:15:38 : LimitlessMc, mainchat, MoshonT#8152, So here how it currently works, new players get in and there easily sold items they bring in a flow of 500 each time
01 Sep 2016 03:15:41 : LimitlessMc, mainchat, Wojo#2833, no like theres not anough money in the first place
01 Sep 2016 03:15:45 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 03:15:51 : LimitlessMc, mainchat, MoshonT#8152, So Selling to other players is always gonna be a thing as long as people come into the server
01 Sep 2016 03:15:53 : LimitlessMc, mainchat, ParchedEntree#2086, I have 57k FYI
01 Sep 2016 03:15:54 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 03:16:07 : LimitlessMc, mainchat, Wojo#2833, parched like 20 of thats from me
01 Sep 2016 03:16:15 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Offline!
01 Sep 2016 03:16:25 : LimitlessMc, mainchat, ParchedEntree#2086, ?
01 Sep 2016 03:16:49 : LimitlessMc, mainchat, Wojo#2833, i bought stuff from you non-stop for like 3 days
01 Sep 2016 03:16:58 : LimitlessMc, mainchat, Harambe#3735, lmao
01 Sep 2016 03:17:02 : LimitlessMc, mainchat, ParchedEntree#2086, whats your IGN?
01 Sep 2016 03:17:08 : LimitlessMc, mainchat, Wojo#2833, jacowojo
01 Sep 2016 03:17:21 : League Of Legends, general, Botfuzzy77#2209, **Anarchy**(Officer) is now Offline!
01 Sep 2016 03:17:25 : LimitlessMc, mainchat, ParchedEntree#2086, Okay like 4k might be from you.
01 Sep 2016 03:17:41 : LimitlessMc, mainchat, Wojo#2833, still 4k adds up
01 Sep 2016 03:17:54 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 03:18:01 : LimitlessMc, mainchat, Wojo#2833, lel
01 Sep 2016 03:18:05 : LimitlessMc, mainchat, ParchedEntree#2086, But I'm jewish???
01 Sep 2016 03:18:11 : LimitlessMc, mainchat, MoshonT#8152, Fuck
01 Sep 2016 03:18:12 : LimitlessMc, mainchat, Harambe#3735, are you really?
01 Sep 2016 03:18:16 : LimitlessMc, mainchat, ParchedEntree#2086, yes
01 Sep 2016 03:18:20 : LimitlessMc, mainchat, Harambe#3735, lmao
01 Sep 2016 03:18:24 : LimitlessMc, mainchat, Wojo#2833, lmao @Harambe
01 Sep 2016 03:18:37 : LimitlessMc, mainchat, Wojo#2833, you just did that to him
01 Sep 2016 03:18:48 : LimitlessMc, mainchat, Harambe#3735, didn't know lol
01 Sep 2016 03:19:03 : LimitlessMc, mainchat, Wojo#2833, thats something i would do
01 Sep 2016 03:19:07 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
01 Sep 2016 03:19:11 : LimitlessMc, mainchat, MoshonT#8152, Something as small as adding mroe trainer spawn rates would totally change up th emoney flow,
01 Sep 2016 03:19:19 : LimitlessMc, mainchat, MoshonT#8152, And make leveling easy too
01 Sep 2016 03:19:34 : LimitlessMc, mainchat, Wojo#2833, something like giving me everyones legendarys would help
01 Sep 2016 03:19:43 : LimitlessMc, mainchat, Harambe#3735, but what do you expect to get from trainers?
01 Sep 2016 03:19:45 : LimitlessMc, mainchat, ParchedEntree#2086, Just fly around I found like 20 trainers yesterday.
01 Sep 2016 03:20:01 : LimitlessMc, mainchat, BossGiovanni#5386, Trainers are common in the plains
01 Sep 2016 03:20:04 : LimitlessMc, mainchat, MoshonT#8152, 50-60 poke dollars
01 Sep 2016 03:20:11 : LimitlessMc, mainchat, MoshonT#8152, which adds up
01 Sep 2016 03:20:11 : LimitlessMc, mainchat, Wojo#2833, that still doesnt add up to 57k
01 Sep 2016 03:20:17 : LimitlessMc, mainchat, Harambe#3735, ^
01 Sep 2016 03:20:18 : LimitlessMc, mainchat, MoshonT#8152, Slowly
01 Sep 2016 03:20:21 : LimitlessMc, mainchat, ParchedEntree#2086, I prob made 1k in trainers yesterday tbh.
01 Sep 2016 03:20:29 : LimitlessMc, mainchat, Harambe#3735, Slowly in like a year lol
01 Sep 2016 03:20:39 : LimitlessMc, mainchat, Wojo#2833, i dont have a milenum to waste i have to eat dinner and shit
01 Sep 2016 03:20:41 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
01 Sep 2016 03:21:20 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
01 Sep 2016 03:21:20 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
01 Sep 2016 03:21:27 : LimitlessMc, mainchat, ParchedEntree#2086, I plan to host tournys. Which will the prize pot will prob be like 5k ish...
01 Sep 2016 03:21:31 : LimitlessMc, mainchat, Harambe#3735, I like how @Topheralan starts this and leaves lol
01 Sep 2016 03:21:50 : LimitlessMc, mainchat, Wojo#2833, thats crazy high good to know im making a comp team
01 Sep 2016 03:21:59 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Offline!
01 Sep 2016 03:22:00 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
01 Sep 2016 03:22:00 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
01 Sep 2016 03:22:02 : LimitlessMc, mainchat, MoshonT#8152, Alright I wont get anywear by moping
01 Sep 2016 03:22:11 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
01 Sep 2016 03:22:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Schauda**(Priests of The Raw Man) is now Online!
01 Sep 2016 03:22:21 : LimitlessMc, mainchat, MoshonT#8152, I'm talking about my items that is
01 Sep 2016 03:22:28 : LimitlessMc, mainchat, Wojo#2833, i am now a admin of the server my first act is to go to bed
01 Sep 2016 03:23:41 : LimitlessMc, mainchat, ParchedEntree#2086, Are you really?
01 Sep 2016 03:24:01 : LimitlessMc, mainchat, BossGiovanni#5386, That's what I did when I was promoted on the last server I was on
01 Sep 2016 03:24:55 : LimitlessMc, mainchat, ParchedEntree#2086, GN everyone.
01 Sep 2016 03:25:05 : LimitlessMc, mainchat, Harambe#3735, byee
01 Sep 2016 03:25:23 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 03:28:03 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 03:32:54 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
01 Sep 2016 03:33:42 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 03:34:01 : LimitlessMc, mainchat, MoshonT#8152, When ItsElectronicD gets back on Tell him to prepare to Trust me on his land
01 Sep 2016 03:34:12 : LimitlessMc, mainchat, MoshonT#8152, I find it sly that he actually did untrust me in the first place
01 Sep 2016 03:35:42 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 03:42:18 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 03:44:17 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 03:47:15 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Offline!
01 Sep 2016 03:47:18 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 03:47:24 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(No Role) is now Online!
01 Sep 2016 03:48:04 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
01 Sep 2016 03:49:45 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Online!
01 Sep 2016 03:49:57 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 03:50:04 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 03:52:27 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Offline!
01 Sep 2016 03:52:48 : LimitlessMc, mainchat, Topheralan#1202, Le
01 Sep 2016 03:57:44 : LimitlessMc, mainchat, MoshonT#8152, Like he was rather quick in that doing that, though I do question the untrusting aspect of it.
01 Sep 2016 04:00:06 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
01 Sep 2016 04:01:00 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
01 Sep 2016 04:02:25 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
01 Sep 2016 04:02:39 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
01 Sep 2016 04:03:04 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Online!
01 Sep 2016 04:07:09 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Cat**(Children of The Raw Man) is now Offline!
01 Sep 2016 04:07:29 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
01 Sep 2016 04:09:32 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
01 Sep 2016 04:12:50 : LimitlessMc, mainchat, Damaged_danny#5236, sup
01 Sep 2016 04:15:42 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Prince Kumbi**(Children of The Raw Man) is now Online!
01 Sep 2016 04:18:35 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Offline!
01 Sep 2016 04:22:24 : LimitlessMc, mainchat, BossGiovanni#5386, hello
01 Sep 2016 04:27:54 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
01 Sep 2016 04:31:17 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
