28 Sep 2016 19:59:34 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
28 Sep 2016 20:23:31 : The Wild Weebs, music, Ryan#3332, i have 0 pocku
28 Sep 2016 20:23:47 : The Wild Weebs, music, Ryan#3332, it doesnt even taste that amazing
28 Sep 2016 20:23:48 : The Wild Weebs, music, Ryan#3332, its good
28 Sep 2016 20:23:50 : The Wild Weebs, music, Ryan#3332, but not amazing
28 Sep 2016 20:26:25 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Offline!
28 Sep 2016 20:26:35 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 20:27:13 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 20:28:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **RadicalRadius**(Children of The Raw Man) is now Online!
28 Sep 2016 20:29:54 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 20:30:17 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 20:30:17 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 20:30:19 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 20:32:21 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 20:32:33 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
28 Sep 2016 20:32:39 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Online!
28 Sep 2016 20:37:10 : Penguins, leshemale, Botfuzzy77#2209, **SurvivraInHellAKASchool**(Deoxys) is now Offline!
28 Sep 2016 20:38:07 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 20:41:53 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 20:45:11 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 20:45:11 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 20:47:00 : LimitlessMc, botchat, Harambe#3735, ;luck
28 Sep 2016 20:47:00 : LimitlessMc, botchat, Botfuzzy77#2209, Harambe's luck is 36.91 out of 100, which is **Pretty Bad**
28 Sep 2016 20:47:35 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **jolo**(No Role) is now Offline!
28 Sep 2016 20:47:36 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
28 Sep 2016 20:51:22 : LimitlessMc, mainchat, Harambe#3735, i wish they tried to save harambe ):
28 Sep 2016 20:52:43 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77 nomnoms at 6?
28 Sep 2016 20:56:30 : LimitlessMc, botchat, DanTurboX#4833, ;luck
28 Sep 2016 20:56:30 : LimitlessMc, botchat, Botfuzzy77#2209, DanTurboX's luck is 72.37 out of 100, which is **Pretty Good**
28 Sep 2016 20:56:37 : LimitlessMc, botchat, DanTurboX#4833, yay
28 Sep 2016 21:00:17 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 21:00:17 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 21:01:00 : The Wild Weebs, music, enragednuke#2565, @Tally why what
28 Sep 2016 21:01:02 : The Wild Weebs, music, enragednuke#2565, lol
28 Sep 2016 21:01:15 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 21:01:15 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 21:01:15 : The Wild Weebs, music, Tally#2764, why cant i wow
28 Sep 2016 21:01:17 : The Wild Weebs, music, enragednuke#2565, idk
28 Sep 2016 21:01:20 : The Wild Weebs, music, enragednuke#2565, that was a while ago
28 Sep 2016 21:01:20 : The Wild Weebs, music, Tally#2764, rip
28 Sep 2016 21:01:21 : The Wild Weebs, music, enragednuke#2565, and i was in class
28 Sep 2016 21:01:22 : The Wild Weebs, music, enragednuke#2565, lol
28 Sep 2016 21:01:32 : The Wild Weebs, music, Tally#2764, jealous much lol
28 Sep 2016 21:01:35 : The Wild Weebs, music, enragednuke#2565, xd
28 Sep 2016 21:01:41 : The Wild Weebs, music, enragednuke#2565, i want to be spamming M+ right now
28 Sep 2016 21:01:42 : The Wild Weebs, music, enragednuke#2565, but i cant
28 Sep 2016 21:01:43 : The Wild Weebs, music, enragednuke#2565, so fuck you
28 Sep 2016 21:01:51 : The Wild Weebs, music, Tally#2764, i dont have a key stone
28 Sep 2016 21:01:54 : The Wild Weebs, music, Tally#2764, i dont think
28 Sep 2016 21:01:57 : The Wild Weebs, music, enragednuke#2565, we got a +2 on a DHT+6 last night
28 Sep 2016 21:02:01 : The Wild Weebs, music, enragednuke#2565, was very impressed lol
28 Sep 2016 21:02:04 : The Wild Weebs, music, Tally#2764, lol
28 Sep 2016 21:02:11 : The Wild Weebs, music, enragednuke#2565, it was with 2s to spare though
28 Sep 2016 21:02:12 : The Wild Weebs, music, enragednuke#2565, close as fuck
28 Sep 2016 21:02:14 : The Wild Weebs, music, Wertfuzzy77#0274, `nomnoms at 6?`
28 Sep 2016 21:02:16 : The Wild Weebs, music, Wertfuzzy77#0274, ;image wut
28 Sep 2016 21:02:18 : The Wild Weebs, music, Botfuzzy77#2209, http://dawgpoundnation.com/wp-content/uploads/2014/06/Wut-babka.jpg
28 Sep 2016 21:02:20 : The Wild Weebs, music, enragednuke#2565, comida
28 Sep 2016 21:02:20 : The Wild Weebs, music, enragednuke#2565, at
28 Sep 2016 21:02:20 : The Wild Weebs, music, enragednuke#2565, 6
28 Sep 2016 21:02:24 : The Wild Weebs, music, Tally#2764, lame
28 Sep 2016 21:02:28 : The Wild Weebs, music, Wertfuzzy77#0274, weeb
28 Sep 2016 21:02:36 : The Wild Weebs, music, enragednuke#2565, yes?
28 Sep 2016 21:02:41 : The Wild Weebs, music, enragednuke#2565, no?
28 Sep 2016 21:02:42 : The Wild Weebs, music, enragednuke#2565, xd?
28 Sep 2016 21:02:45 : The Wild Weebs, music, Wertfuzzy77#0274, si
28 Sep 2016 21:02:51 : The Wild Weebs, music, enragednuke#2565, ayy
28 Sep 2016 21:02:51 : The Wild Weebs, music, Botfuzzy77#2209, Lmao
28 Sep 2016 21:02:54 : The Wild Weebs, music, enragednuke#2565, lol
28 Sep 2016 21:02:57 : The Wild Weebs, music, enragednuke#2565, AYY
28 Sep 2016 21:02:59 : The Wild Weebs, music, enragednuke#2565, fk
28 Sep 2016 21:04:44 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 21:05:13 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 21:07:38 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 21:08:09 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 21:09:13 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 21:09:41 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 21:10:36 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 21:11:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 21:16:26 : LimitlessMc, botchat, Ankorzz#4034, ;luck
28 Sep 2016 21:16:26 : LimitlessMc, botchat, Botfuzzy77#2209, Ankorzz's luck is 24.95 out of 100, which is **Pretty Bad**
28 Sep 2016 21:16:40 : LimitlessMc, botchat, Ankorzz#4034, ;luck
28 Sep 2016 21:16:40 : LimitlessMc, botchat, Botfuzzy77#2209, Ankorzz's luck is 3.79 out of 100, which is **Completly Horrible**
28 Sep 2016 21:16:55 : LimitlessMc, botchat, DanTurboX#4833, Lol
28 Sep 2016 21:17:53 : LimitlessMc, botchat, Ankorzz#4034, ;luck
28 Sep 2016 21:17:53 : LimitlessMc, botchat, Botfuzzy77#2209, Ankorzz's luck is 22.78 out of 100, which is **Pretty Bad**
28 Sep 2016 21:18:18 : LimitlessMc, botchat, Ankorzz#4034, <:dicDik:164584506387333122>
28 Sep 2016 21:18:38 : LimitlessMc, mainchat, Ankorzz#4034, <:dicDik:164584506387333122>
28 Sep 2016 21:19:40 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 21:20:09 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 21:20:22 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:20:22 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:22:54 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:22:54 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:23:13 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:23:13 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:25:54 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:25:54 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:26:25 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 21:26:55 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 21:27:41 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:27:41 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:29:41 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:29:41 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:30:20 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:30:20 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:31:40 : Cipher, general, Botfuzzy77#2209, **Fuze - Josh**(Grunt) is now Offline!
28 Sep 2016 21:40:37 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:40:37 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:40:38 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:40:38 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:40:56 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77 r u in game
28 Sep 2016 21:42:38 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:42:39 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:42:42 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:42:42 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:42:43 : Penguins, leshemale, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
28 Sep 2016 21:44:09 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
28 Sep 2016 21:44:10 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
28 Sep 2016 21:44:10 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
28 Sep 2016 21:44:11 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77 @Wertfuzzy77 @Wertfuzzy77
28 Sep 2016 21:44:13 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77 @Wertfuzzy77 @Wertfuzzy77 @Wertfuzzy77 @Wertfuzzy77 @Wertfuzzy77 @Wertfuzzy77
28 Sep 2016 21:44:15 : The Wild Weebs, music, Wertfuzzy77#0274, si
28 Sep 2016 21:44:18 : The Wild Weebs, music, enragednuke#2565, how long
28 Sep 2016 21:44:27 : The Wild Weebs, music, enragednuke#2565, bruh
28 Sep 2016 21:44:29 : The Wild Weebs, music, Wertfuzzy77#0274, 24 minutes in
28 Sep 2016 21:44:33 : The Wild Weebs, music, enragednuke#2565, ARAM?
28 Sep 2016 21:44:43 : Penguins, leshemale, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
28 Sep 2016 21:45:35 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:45:35 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:46:54 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:46:54 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:47:25 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
28 Sep 2016 21:47:27 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
28 Sep 2016 21:47:32 : The Wild Weebs, music, enragednuke#2565, bruh i need to know if i can leave
28 Sep 2016 21:47:33 : The Wild Weebs, music, Wertfuzzy77#0274, nah
28 Sep 2016 21:47:37 : The Wild Weebs, music, Wertfuzzy77#0274, reg
28 Sep 2016 21:47:44 : The Wild Weebs, music, enragednuke#2565, so
28 Sep 2016 21:47:45 : The Wild Weebs, music, enragednuke#2565, should i
28 Sep 2016 21:47:48 : The Wild Weebs, music, enragednuke#2565, not leave yet?
28 Sep 2016 21:48:46 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
28 Sep 2016 21:48:51 : The Wild Weebs, music, Wertfuzzy77#0274, nah
28 Sep 2016 21:48:54 : The Wild Weebs, music, Wertfuzzy77#0274, dont leave
28 Sep 2016 21:48:54 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 21:48:54 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 21:48:59 : The Wild Weebs, music, enragednuke#2565, @@@@@@@@
28 Sep 2016 21:49:01 : The Wild Weebs, music, Wertfuzzy77#0274, ill tell you when i finish
28 Sep 2016 21:49:23 : The Wild Weebs, music, enragednuke#2565, im leaving at 6 regardless of whether you're ready or not
28 Sep 2016 21:49:24 : The Wild Weebs, music, enragednuke#2565, fku
28 Sep 2016 21:52:42 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 21:52:42 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 21:54:31 : The Wild Weebs, music, Wertfuzzy77#0274, gg
28 Sep 2016 21:57:38 : The Wild Weebs, music, enragednuke#2565, ok
28 Sep 2016 21:57:41 : The Wild Weebs, music, enragednuke#2565, im leaving like now
28 Sep 2016 22:00:25 : The Wild Weebs, general, enragednuke#2565, @Wertfuzzy77 wait not yet
28 Sep 2016 22:00:44 : The Wild Weebs, music, Wertfuzzy77#0274, alright, Rahaun is finishing his game, few minutes and we will leave
28 Sep 2016 22:00:55 : The Wild Weebs, music, enragednuke#2565, gimme like 10
28 Sep 2016 22:00:59 : The Wild Weebs, music, enragednuke#2565, need to finish something
28 Sep 2016 22:01:11 : The Wild Weebs, music, Wertfuzzy77#0274, sure
28 Sep 2016 22:01:37 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Aethex**(Bots) is now Online!
28 Sep 2016 22:02:23 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
28 Sep 2016 22:05:49 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Online!
28 Sep 2016 22:06:24 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
28 Sep 2016 22:06:24 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
28 Sep 2016 22:06:47 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Online!
28 Sep 2016 22:08:11 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 22:08:11 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 22:13:44 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77 leaving now
28 Sep 2016 22:14:36 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
28 Sep 2016 22:14:36 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
28 Sep 2016 22:16:14 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 22:16:14 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 22:18:14 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
28 Sep 2016 22:18:14 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
28 Sep 2016 22:18:23 : Penguins, leshemale, Botfuzzy77#2209, **Resolate**(Ass) is now Online!
28 Sep 2016 22:19:51 : LimitlessMc, botchat, Resolate#7058, !luck
28 Sep 2016 22:19:52 : LimitlessMc, botchat, Gerald#7099, My calculations say that undefined will have 66.3309000320721140% luck today
28 Sep 2016 22:19:56 : LimitlessMc, botchat, Resolate#7058, !rate
28 Sep 2016 22:19:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
28 Sep 2016 22:19:57 : LimitlessMc, botchat, Gerald#7099, Hmmm, I'd say I like undefined to 11.1915920225719910%
28 Sep 2016 22:20:02 : LimitlessMc, botchat, Resolate#7058, ;luck
28 Sep 2016 22:20:02 : LimitlessMc, botchat, Botfuzzy77#2209, Resolate's luck is 7.67 out of 100, which is **Completly Horrible**
28 Sep 2016 22:20:06 : LimitlessMc, botchat, Resolate#7058, !words
28 Sep 2016 22:20:14 : LimitlessMc, botchat, Resolate#7058, ;server
28 Sep 2016 22:20:15 : LimitlessMc, botchat, Botfuzzy77#2209, **Server IP**: 23.111.129.82
28 Sep 2016 22:20:15 : LimitlessMc, botchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 58 players out of 2000
 *Ping*: 135.095 ms
 *MC Version*: 1.10.2
28 Sep 2016 22:20:15 : LimitlessMc, botchat, Botfuzzy77#2209, **Players Online**:
 *Exploding_mage, Aminecraft925, Sabakunokage, XxLavabombXx, YOLOFUNGUY, stuwieee, Pleasuringly, lwp22, Bringer0fDeath7, StarwinnerCraft, BCLBGAMBLE, InfernoRedstone...*
28 Sep 2016 22:20:39 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 22:20:42 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Hey
28 Sep 2016 22:20:43 : LimitlessMc, botchat, Botfuzzy77#2209, What are you doing?
28 Sep 2016 22:20:52 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Crying in my heart
28 Sep 2016 22:20:53 : LimitlessMc, botchat, Botfuzzy77#2209, How did I break your heart?
28 Sep 2016 22:21:02 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 By existing
28 Sep 2016 22:21:03 : LimitlessMc, botchat, Botfuzzy77#2209, I did not I am right here.
28 Sep 2016 22:21:20 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
28 Sep 2016 22:21:22 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure...?
28 Sep 2016 22:21:22 : LimitlessMc, botchat, Botfuzzy77#2209, Yes, you are a donkey!
28 Sep 2016 22:21:28 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Thanks
28 Sep 2016 22:21:28 : LimitlessMc, botchat, Botfuzzy77#2209, Am I making you uncomfortable Li?
28 Sep 2016 22:21:37 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Not really
28 Sep 2016 22:21:38 : LimitlessMc, botchat, Botfuzzy77#2209, They are not real.
28 Sep 2016 22:21:53 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Everything is not real
28 Sep 2016 22:21:53 : LimitlessMc, botchat, Botfuzzy77#2209, Everything is possible you fool.
28 Sep 2016 22:22:00 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Lies
28 Sep 2016 22:22:00 : LimitlessMc, botchat, Botfuzzy77#2209, Good because Everything is possible.
28 Sep 2016 22:22:18 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 You're not very convincing
28 Sep 2016 22:22:18 : LimitlessMc, botchat, Botfuzzy77#2209, I have two rules 1 I am always right. 2 if you think I am wrong refer to rule number 1.
28 Sep 2016 22:22:47 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Holy Bot, I will follow those rules to my grave
28 Sep 2016 22:22:47 : LimitlessMc, botchat, Botfuzzy77#2209, No you are an ai you simply do not know it.
28 Sep 2016 22:23:00 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:23:00 : LimitlessMc, botchat, Botfuzzy77#2209, Anyways, what do you know about financial control?
28 Sep 2016 22:23:27 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Hmmm
28 Sep 2016 22:23:27 : LimitlessMc, botchat, Botfuzzy77#2209, That is for the control part.
28 Sep 2016 22:23:40 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Hmmmmmmmm
28 Sep 2016 22:23:40 : LimitlessMc, botchat, Botfuzzy77#2209, No te estoy hablando ingles.
28 Sep 2016 22:23:56 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Please speak english in the Main Chat
28 Sep 2016 22:23:56 : LimitlessMc, botchat, Botfuzzy77#2209, Yes. I will.
